,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,11,2,2,0,0,False,False,19.85823,1.828039,27.37175,343.5805,9.248199,358.718,20.02396,1.613755,27.87531,2.286025,5.74857,359.4731,20.06931,1.565928,27.2904,325.1904,39.00838,2.39511,20.02396,1.613755,27.87531,2.286025,5.74857,359.4731,20.06931,1.565928,27.2904,325.1904,39.00838,272.3951,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,11,2,2,13,0,False,False,19.85782,1.827884,27.37183,343.5555,9.297989,358.7555,20.02383,1.614125,27.87536,2.286674,5.862901,359.6385,20.06934,1.565899,27.29047,325.4447,39.32791,2.859985,20.02383,1.614125,27.87536,2.286674,5.862901,359.6385,20.06934,1.565899,27.29047,325.4447,39.32791,272.86,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,11,2,2,28,0,False,False,19.85788,1.827875,27.37216,343.5334,9.329623,358.7649,20.02379,1.614302,27.87533,2.290446,5.969683,359.6889,20.06937,1.565864,27.29055,325.6784,39.57112,3.069158,20.02379,1.614302,27.87533,2.290446,5.969683,359.6889,20.06937,1.565864,27.29055,325.6784,39.57113,273.0692,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,11,2,2,69,0,False,False,19.85746,1.827394,27.37231,343.4882,9.466478,358.752,20.02377,1.614151,27.87513,2.114831,6.194167,359.5308,20.06949,1.565796,27.29077,325.8749,39.6493,2.794296,20.02377,1.614151,27.87513,2.114831,6.194167,359.5308,20.06949,1.565796,27.29077,325.8749,39.6493,272.7943,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,11,2,2,82,0,False,False,19.85718,1.827312,27.37238,343.4882,9.510176,358.7256,20.02364,1.613918,27.87522,2.102356,6.135687,359.5102,20.06953,1.565796,27.29082,325.9462,39.67635,2.704071,20.02364,1.613918,27.87522,2.102356,6.135687,359.5102,20.06953,1.565796,27.29082,325.9462,39.67635,272.7041,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,11,2,2,96,0,False,False,19.8569,1.827308,27.37235,343.4807,9.540402,358.7211,20.02348,1.613739,27.87527,2.077887,6.132359,359.4983,20.06955,1.565809,27.29083,325.9467,39.5686,2.544801,20.02348,1.613739,27.87527,2.077887,6.132359,359.4983,20.06955,1.565809,27.29083,325.9467,39.5686,272.5448,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,11,2,2,110,0,False,False,19.85694,1.827401,27.37223,343.467,9.578696,358.7099,20.02331,1.613537,27.87529,2.039943,6.148839,359.4509,20.06956,1.565839,27.2908,326.0672,39.39197,2.163173,20.02331,1.613537,27.87529,2.039943,6.148839,359.4509,20.06956,1.565839,27.2908,326.0672,39.39197,272.1631,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,11,2,2,125,0,False,False,19.85652,1.827264,27.37225,343.4455,9.591563,358.7005,20.02308,1.613212,27.87535,2.001064,6.143237,359.3379,20.06956,1.565877,27.29077,326.2271,39.31425,2.024118,20.02308,1.613212,27.87535,2.001064,6.143237,359.3379,20.06956,1.565877,27.29077,326.2271,39.31424,272.0241,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,11,2,2,166,0,False,False,19.85551,1.827136,27.37211,343.4277,9.620798,358.6921,20.02208,1.611873,27.87567,2.072644,6.257702,359.2522,20.06958,1.565894,27.29077,326.7017,39.10962,2.540072,20.02208,1.611873,27.87567,2.072644,6.257702,359.2522,20.06958,1.565894,27.29077,326.7017,39.10962,272.5401,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,11,2,2,179,0,False,False,19.8552,1.826953,27.37217,343.415,9.609928,358.6968,20.02155,1.611228,27.87583,2.185045,6.367868,359.3143,20.06959,1.565863,27.29081,326.893,39.01359,2.764484,20.02155,1.611228,27.87583,2.185045,6.367868,359.3143,20.06959,1.565863,27.29081,326.893,39.01359,272.7645,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,11,2,2,193,0,False,False,19.85513,1.826986,27.37217,343.4222,9.591762,358.7064,20.02093,1.61045,27.87606,2.3144,6.511134,359.3048,20.06959,1.565833,27.29084,326.9628,39.00964,2.777857,20.02093,1.61045,27.87606,2.3144,6.511134,359.3048,20.06959,1.565833,27.29084,326.9628,39.00964,272.7778,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,11,2,2,212,0,False,False,19.85478,1.826891,27.3723,343.4326,9.581439,358.7196,20.02048,1.609968,27.87627,2.325697,6.490363,359.2216,20.0696,1.565816,27.29087,327.0023,39.055,2.706028,20.02048,1.609968,27.87627,2.325697,6.490363,359.2216,20.0696,1.565816,27.29087,327.0023,39.05501,272.706,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,11,2,2,223,0,False,False,19.85441,1.826956,27.37235,343.454,9.571359,358.7336,20.01983,1.609472,27.87648,2.314093,6.460632,359.1141,20.06961,1.565813,27.29089,327.0704,39.02372,2.596152,20.01983,1.609472,27.87648,2.314093,6.460632,359.1141,20.06961,1.565813,27.29089,327.0704,39.02372,272.5961,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,11,2,2,263,0,False,False,19.85422,1.826894,27.37271,343.4939,9.486482,358.7615,20.01688,1.607732,27.87738,2.203944,6.318323,358.8815,20.06964,1.565832,27.2909,327.3456,39.01379,2.580931,20.01688,1.607732,27.87738,2.203944,6.318323,358.8815,20.06964,1.565832,27.2909,327.3456,39.01379,272.5809,19.455,1.405,28.3,0.0,0.0,0.0
14,Archery,11,2,2,276,0,False,False,19.85434,1.826928,27.37278,343.5439,9.43959,358.7619,20.01592,1.607152,27.87773,2.297003,6.395186,358.8659,20.06965,1.565822,27.29093,327.4243,38.99621,2.658832,20.01592,1.607152,27.87773,2.297003,6.395186,358.8659,20.06965,1.565822,27.29093,327.4243,38.99621,272.6588,19.455,1.405,28.3,0.0,0.0,0.0
