,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,11,2,12,0,0,False,False,19.82548,1.815031,27.66233,350.4762,2.904163,3.109394,19.96355,1.58491,28.08884,1.381376,5.763697,2.490176,20.05333,1.56148,27.4583,310.5757,6.876951,7.480553,19.96355,1.58491,28.08884,1.381376,5.763697,2.490176,20.05333,1.56148,27.4583,310.5757,6.876951,277.4805,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,11,2,12,5,0,False,False,19.82598,1.814953,27.66235,350.5826,2.94963,3.058131,19.96418,1.585919,28.08895,1.143739,6.20507,2.475404,20.05179,1.563137,27.45031,309.5953,7.152621,8.048162,19.96418,1.585919,28.08895,1.143739,6.20507,2.475404,20.05179,1.563137,27.45031,309.5953,7.152621,278.0482,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,11,2,12,18,0,False,False,19.82604,1.814928,27.66237,350.6606,2.994145,3.013351,19.96477,1.586902,28.08908,0.8733963,6.495675,2.447204,20.0505,1.564988,27.44223,308.5289,7.474079,8.358863,19.96477,1.586902,28.08908,0.8733963,6.495675,2.447204,20.0505,1.564988,27.44223,308.5289,7.474082,278.3589,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,11,2,12,32,0,False,False,19.82615,1.814985,27.66255,350.7137,3.065042,2.950059,19.96524,1.587838,28.08918,0.5129507,6.573562,2.404842,20.04914,1.566858,27.43464,307.416,7.725103,8.737479,19.96524,1.587838,28.08918,0.5129507,6.573562,2.404842,20.04914,1.566858,27.43464,307.416,7.725107,278.7375,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,11,2,12,46,0,False,False,19.82678,1.814944,27.66245,350.7478,3.149364,2.875344,19.96552,1.588477,28.08958,0.3910011,6.296923,2.195786,20.04801,1.568799,27.42731,306.2484,8.063637,9.177236,19.96552,1.588477,28.08958,0.3910011,6.296923,2.195786,20.04801,1.568799,27.42731,306.2484,8.063643,279.1772,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,11,2,12,60,0,False,False,19.82685,1.814879,27.66259,350.7811,3.250541,2.805818,19.96569,1.58897,28.09017,0.4069365,5.880132,1.973243,20.04741,1.570929,27.42033,305.1527,9.072835,9.274653,19.96569,1.58897,28.09017,0.4069365,5.880132,1.973243,20.04741,1.570929,27.42033,305.1527,9.072828,279.2747,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,11,2,12,73,0,False,False,19.82694,1.814769,27.66257,350.8217,3.338434,2.772242,19.96597,1.589585,28.09051,0.3923342,5.724299,1.96083,20.0471,1.5733,27.41348,303.9848,10.67773,8.908306,19.96597,1.589585,28.09051,0.3923342,5.724299,1.96083,20.0471,1.5733,27.41348,303.9848,10.67773,278.9083,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,11,2,12,88,0,False,False,19.8273,1.814952,27.66243,350.8455,3.431042,2.757907,19.96646,1.590172,28.09067,0.4678213,5.849435,2.005779,20.0466,1.57535,27.40637,302.7804,11.47809,8.816095,19.96646,1.590172,28.09067,0.4678213,5.849435,2.005779,20.0466,1.57535,27.40637,302.7804,11.47809,278.8161,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,11,2,12,101,0,False,False,19.82738,1.814894,27.66234,350.87,3.509205,2.761536,19.96705,1.590797,28.09064,0.6291076,6.248336,2.210069,20.04591,1.577549,27.40005,301.563,13.32205,8.067906,19.96705,1.590797,28.09064,0.6291076,6.248336,2.210069,20.04591,1.577549,27.40005,301.563,13.32204,278.0679,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,11,2,12,117,0,False,False,19.82738,1.814791,27.66223,350.8927,3.58251,2.786859,19.96769,1.591504,28.09039,0.72457,6.745215,2.534132,20.04515,1.580064,27.39443,299.9709,14.52848,7.46823,19.96769,1.591504,28.09039,0.72457,6.745215,2.534132,20.04515,1.580064,27.39443,299.9709,14.52848,277.4682,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,11,2,12,129,0,False,False,19.82749,1.814732,27.66178,350.928,3.655634,2.7943,19.96828,1.592257,28.09016,0.6619771,7.02113,2.718469,20.04367,1.581581,27.38685,297.9387,10.24359,8.874654,19.96828,1.592257,28.09016,0.6619771,7.02113,2.718469,20.04367,1.581581,27.38685,297.9387,10.24359,278.8746,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,11,2,12,145,0,False,False,19.82743,1.814556,27.66166,350.9593,3.738029,2.790266,19.96882,1.592851,28.08985,0.5242543,7.213875,2.739058,20.04215,1.583526,27.38213,297.2296,8.434677,9.023616,19.96882,1.592851,28.08985,0.5242543,7.213875,2.739058,20.04215,1.583526,27.38213,297.2296,8.434683,279.0236,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,11,2,12,157,0,False,False,19.82738,1.814414,27.66153,351.0067,3.788788,2.7712,19.9693,1.593286,28.08966,0.3986208,7.155648,2.498104,20.04039,1.585805,27.37864,296.2139,10.00348,8.332079,19.9693,1.593286,28.08966,0.3986208,7.155648,2.498104,20.04039,1.585805,27.37864,296.2139,10.00349,278.3321,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,11,2,12,179,0,False,False,19.8275,1.814334,27.66146,351.0447,3.829054,2.74604,19.96977,1.593602,28.08948,0.2937907,6.869933,2.045035,20.03827,1.587163,27.37602,295.2515,8.133848,9.902755,19.96977,1.593602,28.08948,0.2937907,6.869933,2.045035,20.03827,1.587163,27.37602,295.2515,8.133845,279.9028,19.455,1.405,28.3,0.0,0.0,0.0
