,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,3,1,6,0,0,False,False,20.41488,1.852587,28.3015,16.03945,11.297,350.0489,20.45134,1.697747,29.04504,4.116009,359.9654,357.4609,20.46145,1.711638,28.3303,355.1724,340.1521,359.4839,20.45134,1.697747,29.04504,4.116009,359.9654,357.4609,20.46145,1.711638,28.3303,355.1724,340.1521,269.4839,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,3,1,6,12,0,False,False,20.41471,1.852595,28.30162,16.03746,11.31886,350.0586,20.45129,1.698065,29.04502,4.061163,0.04347843,357.731,20.46134,1.711497,28.3304,355.293,340.0362,359.4397,20.45129,1.698065,29.04502,4.061163,0.04347843,357.731,20.46134,1.711497,28.3304,355.293,340.0362,269.4397,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,3,1,6,26,0,False,False,20.41479,1.852427,28.30139,16.06846,11.30487,350.0345,20.45164,1.698101,29.04518,3.985392,0.121933,357.7727,20.46108,1.711282,28.3305,355.43,339.9066,359.382,20.45164,1.698101,29.04518,3.985392,0.121933,357.7727,20.46108,1.711282,28.3305,355.43,339.9066,269.3819,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,3,1,6,40,0,False,False,20.41466,1.852564,28.3017,16.11443,11.30017,350.0546,20.45221,1.698087,29.04533,3.886241,0.2416091,357.7392,20.46099,1.711051,28.33055,355.4492,339.9119,359.3535,20.45221,1.698087,29.04533,3.886241,0.2416091,357.7392,20.46099,1.711051,28.33055,355.4492,339.9119,269.3535,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,3,1,6,53,0,False,False,20.41467,1.852689,28.30178,16.1152,11.29096,350.0453,20.45274,1.698029,29.04537,3.818174,0.366308,357.7199,20.46088,1.710965,28.33057,355.4545,339.9307,359.3469,20.45274,1.698029,29.04537,3.818174,0.366308,357.7199,20.46088,1.710965,28.33057,355.4545,339.9307,269.3469,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,3,1,6,67,0,False,False,20.41479,1.852677,28.3018,16.10711,11.27575,350.0801,20.45329,1.697756,29.04543,3.834718,0.4005217,357.5247,20.4609,1.710903,28.3307,355.4859,339.9733,359.3233,20.45329,1.697756,29.04543,3.834718,0.4005217,357.5247,20.4609,1.710903,28.3307,355.4859,339.9733,269.3233,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,3,1,6,81,0,False,False,20.41467,1.852594,28.3018,16.12338,11.26745,350.088,20.45422,1.697272,29.04552,3.823425,0.4313338,357.0857,20.46111,1.710845,28.33075,355.5263,339.9682,359.2921,20.45422,1.697272,29.04552,3.823425,0.4313338,357.0857,20.46111,1.710845,28.33075,355.5263,339.9682,269.2921,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,3,1,6,95,0,False,False,20.41452,1.852505,28.30182,16.16793,11.25372,350.0753,20.45493,1.696874,29.04553,3.819134,0.5503197,356.7423,20.461,1.710735,28.33088,355.5964,339.912,359.2795,20.45493,1.696874,29.04553,3.819134,0.5503197,356.7423,20.461,1.710735,28.33088,355.5964,339.912,269.2795,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,3,1,6,109,0,False,False,20.41456,1.852451,28.302,16.19117,11.25968,350.0515,20.4557,1.696494,29.04553,3.761164,0.6837203,356.3576,20.46075,1.710567,28.33097,355.6806,339.8177,359.2871,20.4557,1.696494,29.04553,3.761164,0.6837203,356.3576,20.46075,1.710567,28.33097,355.6806,339.8177,269.2871,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,3,1,6,123,0,False,False,20.41446,1.852576,28.30209,16.22375,11.24628,350.0673,20.45656,1.695948,29.04543,3.625806,0.9281673,356.0168,20.46046,1.710392,28.33103,355.7222,339.7651,359.283,20.45656,1.695948,29.04543,3.625806,0.9281673,356.0168,20.46046,1.710392,28.33103,355.7222,339.7651,269.283,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,3,1,6,136,0,False,False,20.41429,1.852464,28.30222,16.24081,11.22983,350.104,20.45743,1.695122,29.0452,3.46661,1.135992,355.526,20.46021,1.710298,28.33111,355.7211,339.77,359.3273,20.45743,1.695122,29.0452,3.46661,1.135992,355.526,20.46021,1.710298,28.33111,355.7211,339.77,269.3273,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,3,1,6,151,0,False,False,20.41414,1.852488,28.30243,16.25245,11.21164,350.1582,20.45848,1.693882,29.045,3.352113,1.372564,354.6461,20.46017,1.710179,28.33124,355.7013,339.8495,359.4531,20.45848,1.693882,29.045,3.352113,1.372564,354.6461,20.46017,1.710179,28.33124,355.7013,339.8495,269.4531,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,3,1,6,164,0,False,False,20.41399,1.852463,28.30248,16.25637,11.15988,350.1958,20.45971,1.692283,29.04473,3.17196,1.587778,353.3647,20.46017,1.710258,28.33132,355.627,339.9412,359.5943,20.45971,1.692283,29.04473,3.17196,1.587778,353.3647,20.46017,1.710258,28.33132,355.627,339.9412,269.5943,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,3,1,6,178,0,False,False,20.41375,1.852509,28.30261,16.26418,11.10819,350.2168,20.4611,1.690363,29.04433,2.850402,1.81493,351.7616,20.46012,1.710359,28.33142,355.6003,339.9695,359.7995,20.4611,1.690363,29.04433,2.850402,1.81493,351.7616,20.46012,1.710359,28.33142,355.6003,339.9695,269.7994,19.455,1.405,28.3,0.0,0.0,0.0
14,Archery,3,1,6,193,0,False,False,20.41376,1.852406,28.30249,16.28701,11.04498,350.2212,20.46258,1.687965,29.04382,2.59183,2.196395,350.2394,20.45999,1.710342,28.33144,355.5981,339.9401,0.1426144,20.46258,1.687965,29.04382,2.59183,2.196395,350.2394,20.45999,1.710342,28.33144,355.5981,339.9401,270.1426,19.455,1.405,28.3,0.0,0.0,0.0
15,Archery,3,1,6,206,0,False,False,20.41379,1.852585,28.30266,16.31757,10.99695,350.2701,20.46426,1.684897,29.04316,2.453393,2.786503,348.6776,20.45965,1.710362,28.33148,355.5983,339.8611,0.3632991,20.46426,1.684897,29.04316,2.453393,2.786503,348.6776,20.45965,1.710362,28.33148,355.5983,339.8611,270.3633,19.455,1.405,28.3,0.0,0.0,0.0
16,Archery,3,1,6,221,0,False,False,20.41367,1.852723,28.30278,16.31462,10.93252,350.377,20.46614,1.68107,29.04226,2.420847,3.549546,346.953,20.45935,1.71037,28.33152,355.6177,339.9004,0.5172886,20.46614,1.68107,29.04226,2.420847,3.549546,346.953,20.45935,1.71037,28.33152,355.6177,339.9004,270.5173,19.455,1.405,28.3,0.0,0.0,0.0
17,Archery,3,1,6,243,0,False,False,20.41369,1.852842,28.30296,16.3251,10.83758,350.4753,20.46801,1.676844,29.04119,2.444626,4.49416,345.665,20.45933,1.710431,28.33175,355.5853,339.9872,0.6453706,20.46801,1.676844,29.04119,2.444626,4.49416,345.665,20.45933,1.710431,28.33175,355.5853,339.9872,270.6454,19.455,1.405,28.3,0.0,0.0,0.0
18,Archery,3,1,6,249,0,False,False,20.41351,1.852739,28.30287,16.32156,10.72859,350.5577,20.46979,1.671063,29.0397,2.847978,5.910773,345.0278,20.45929,1.71048,28.33178,355.581,340.0035,0.601441,20.46979,1.671063,29.0397,2.847978,5.910773,345.0278,20.45929,1.71048,28.33178,355.581,340.0035,270.6014,19.455,1.405,28.3,0.0,0.0,0.0
19,Archery,3,1,6,262,0,False,False,20.41361,1.852758,28.30289,16.3536,10.61192,350.6367,20.47135,1.66482,29.03812,3.118457,7.022137,343.9845,20.45939,1.710565,28.33183,355.5734,340.0087,0.5000933,20.47135,1.66482,29.03812,3.118457,7.022137,343.9845,20.45939,1.710565,28.33183,355.5734,340.0087,270.5001,19.455,1.405,28.3,0.0,0.0,0.0
20,Archery,3,1,6,276,0,False,False,20.41367,1.852746,28.30282,16.38252,10.49145,350.7157,20.47281,1.656813,29.03624,3.477566,8.172268,342.3076,20.45986,1.710767,28.33208,355.5061,340.0977,0.4078353,20.47281,1.656813,29.03624,3.477566,8.172268,342.3076,20.45986,1.710767,28.33208,355.5061,340.0978,270.4078,19.455,1.405,28.3,0.0,0.0,0.0
21,Archery,3,1,6,290,0,False,False,20.41364,1.852864,28.30286,16.4478,10.36722,350.7766,20.47425,1.647144,29.03418,3.798952,9.187966,339.7506,20.46038,1.711047,28.33212,355.3626,340.195,0.1962912,20.47425,1.647144,29.03418,3.798952,9.187966,339.7506,20.46038,1.711047,28.33212,355.3626,340.195,270.1963,19.455,1.405,28.3,0.0,0.0,0.0
22,Archery,3,1,6,304,0,False,False,20.41358,1.853063,28.303,16.47647,10.24454,350.8239,20.47565,1.635771,29.03158,3.992497,10.06748,336.0862,20.46091,1.711461,28.33202,355.2101,340.2011,0.08583216,20.47565,1.635771,29.03158,3.992497,10.06748,336.0862,20.46091,1.711461,28.33202,355.2101,340.2011,270.0858,19.455,1.405,28.3,0.0,0.0,0.0
23,Archery,3,1,6,318,0,False,False,20.41351,1.853473,28.30339,16.44692,10.11046,350.8624,20.47714,1.622732,29.02836,4.167475,11.03961,331.531,20.46132,1.711812,28.33189,355.1264,340.145,0.09888148,20.47714,1.622732,29.02836,4.167475,11.03961,331.531,20.46132,1.711812,28.33189,355.1264,340.145,270.0989,19.455,1.405,28.3,0.0,0.0,0.0
24,Archery,3,1,6,332,0,False,False,20.41342,1.853881,28.30367,16.36707,9.93549,350.9512,20.47865,1.608178,29.02431,4.420261,12.3623,326.6543,20.46158,1.712259,28.33165,355.0475,340.0977,0.1244889,20.47865,1.608178,29.02431,4.420261,12.3623,326.6543,20.46158,1.712259,28.33165,355.0475,340.0977,270.1245,19.455,1.405,28.3,0.0,0.0,0.0
25,Archery,3,1,6,346,0,False,False,20.41336,1.854056,28.30375,16.24441,9.724623,351.1116,20.47993,1.592154,29.01923,4.717228,13.79266,321.6315,20.46191,1.712711,28.33142,354.8748,340.1908,0.1202605,20.47993,1.592154,29.01923,4.717228,13.79266,321.6315,20.46191,1.712711,28.33142,354.8748,340.1908,270.1202,19.455,1.405,28.3,0.0,0.0,0.0
26,Archery,3,1,6,360,0,False,False,20.41314,1.854254,28.30397,16.11057,9.450036,351.3323,20.48097,1.57461,29.01321,5.194198,15.45269,316.7483,20.46244,1.713134,28.331,354.4807,340.533,0.05366874,20.48097,1.57461,29.01321,5.194198,15.45269,316.7483,20.46244,1.713134,28.331,354.4807,340.533,270.0536,19.455,1.405,28.3,0.0,0.0,0.0
27,Archery,3,1,6,373,0,False,False,20.41294,1.854421,28.30429,15.98543,9.137004,351.5147,20.4817,1.555562,29.00629,6.032818,17.2965,312.1748,20.46338,1.713859,28.33067,353.9727,341.0742,359.928,20.4817,1.555562,29.00629,6.032818,17.2965,312.1748,20.46338,1.713859,28.33067,353.9727,341.0742,269.928,19.455,1.405,28.3,0.0,0.0,0.0
28,Archery,3,1,6,387,0,False,False,20.41232,1.854485,28.30426,15.8651,8.805907,351.6256,20.48211,1.53507,28.99818,7.415814,19.56158,308.0776,20.46471,1.714771,28.33028,353.4923,341.6377,359.8455,20.48211,1.53507,28.99818,7.415814,19.56158,308.0776,20.46471,1.714771,28.33028,353.4923,341.6377,269.8455,19.455,1.405,28.3,0.0,0.0,0.0
29,Archery,3,1,6,402,0,False,False,20.41212,1.854683,28.30469,15.80435,8.456317,351.6497,20.48192,1.513285,28.9887,9.364534,22.04645,304.4578,20.46606,1.715935,28.32967,353.0722,342.0357,359.7187,20.48192,1.513285,28.9887,9.364534,22.04645,304.4578,20.46606,1.715935,28.32967,353.0722,342.0357,269.7187,19.455,1.405,28.3,0.0,0.0,0.0
30,Archery,3,1,6,415,0,False,False,20.41207,1.855105,28.30551,15.70611,8.111555,351.6658,20.48071,1.490476,28.97783,11.6028,24.44413,301.6284,20.46761,1.717094,28.32924,352.7244,342.2949,359.6434,20.48071,1.490476,28.97783,11.6028,24.44413,301.6284,20.46761,1.717094,28.32924,352.7244,342.2949,269.6434,19.455,1.405,28.3,0.0,0.0,0.0
31,Archery,3,1,6,429,0,False,False,20.41195,1.855513,28.30613,15.55769,7.75041,351.7972,20.47853,1.467592,28.96627,13.92316,26.46862,299.6543,20.46898,1.71817,28.32888,352.601,342.4227,359.8621,20.47853,1.467592,28.96627,13.92316,26.46862,299.6543,20.46898,1.71817,28.32888,352.601,342.4227,269.8621,19.455,1.405,28.3,0.0,0.0,0.0
32,Archery,3,1,6,443,0,False,False,20.41171,1.855526,28.30663,15.43491,7.339662,352.0898,20.47417,1.443177,28.95269,16.37582,28.01637,299.145,20.46977,1.718894,28.32864,352.9411,342.221,0.373599,20.47417,1.443177,28.95269,16.37582,28.01637,299.145,20.46977,1.718894,28.32864,352.9411,342.221,270.3736,19.455,1.405,28.3,0.0,0.0,0.0
33,Archery,3,1,6,457,0,False,False,20.41128,1.855496,28.30738,15.37485,6.875718,352.4053,20.46926,1.418726,28.93901,19.0027,29.4647,298.7388,20.47019,1.718929,28.32881,353.5226,341.7758,1.113662,20.46926,1.418726,28.93901,19.0027,29.4647,298.7388,20.47019,1.718929,28.32881,353.5226,341.7758,271.1136,19.455,1.405,28.3,0.0,0.0,0.0
34,Archery,3,1,6,471,0,False,False,20.41052,1.855605,28.30831,15.33267,6.392923,352.5954,20.46311,1.393543,28.92414,21.96907,30.76631,298.1131,20.46981,1.718305,28.32944,354.3244,341.1581,1.641696,20.46311,1.393543,28.92414,21.96907,30.76631,298.1131,20.46981,1.718305,28.32944,354.3244,341.1581,271.6417,19.455,1.405,28.3,0.0,0.0,0.0
35,Archery,3,1,6,485,0,False,False,20.41002,1.856135,28.3094,15.2979,5.920395,352.657,20.45577,1.368099,28.90847,24.99969,31.80548,297.4867,20.46911,1.717186,28.33032,355.1226,340.5631,1.831481,20.45577,1.368099,28.90847,24.99969,31.80548,297.4867,20.46911,1.717186,28.33032,355.1226,340.5631,271.8315,19.455,1.405,28.3,0.0,0.0,0.0
36,Archery,3,1,6,499,0,False,False,20.40972,1.85687,28.31094,15.17435,5.478321,352.6913,20.44724,1.342921,28.892,27.7768,32.72519,297.7157,20.4684,1.715957,28.33141,355.4003,340.5344,2.173103,20.44724,1.342921,28.892,27.7768,32.72519,297.7157,20.4684,1.715957,28.33141,355.4003,340.5344,272.1731,19.455,1.405,28.3,0.0,0.0,0.0
37,Archery,3,1,6,512,0,False,False,20.40938,1.85765,28.3124,14.99269,5.008578,352.8425,20.43758,1.31805,28.87498,30.34237,33.37916,298.6709,20.46787,1.715142,28.33241,355.1501,341.2422,2.775621,20.43758,1.31805,28.87498,30.34237,33.37916,298.6709,20.46787,1.715142,28.33241,355.1501,341.2422,272.7756,19.455,1.405,28.3,0.0,0.0,0.0
38,Archery,3,1,6,526,0,False,False,20.40878,1.858028,28.3138,14.77496,4.478108,353.1414,20.4269,1.292981,28.85736,33.57565,34.13956,299.8411,20.46803,1.714565,28.33327,355.1719,342.1295,3.749586,20.4269,1.292981,28.85736,33.57565,34.13956,299.8411,20.46803,1.714565,28.33327,355.1719,342.1295,273.7496,19.455,1.405,28.3,0.0,0.0,0.0
39,Archery,3,1,6,541,0,False,False,20.40779,1.858183,28.31525,14.61053,3.905412,353.3745,20.41497,1.267627,28.83917,37.19233,34.86653,300.5283,20.46832,1.713752,28.33416,355.6469,343.017,5.533096,20.41497,1.267627,28.83917,37.19233,34.86653,300.5283,20.46832,1.713752,28.33416,355.6469,343.017,275.5331,19.455,1.405,28.3,0.0,0.0,0.0
40,Archery,3,1,6,554,0,False,False,20.40681,1.85829,28.31698,14.44788,3.304941,353.4829,20.40171,1.242597,28.82053,40.20131,35.23344,300.1394,20.46818,1.71248,28.33523,356.1017,343.7378,8.213971,20.40171,1.242597,28.82053,40.20131,35.23344,300.1394,20.46818,1.71248,28.33523,356.1017,343.7378,278.214,19.455,1.405,28.3,0.0,0.0,0.0
41,Archery,3,1,6,568,0,False,False,20.40613,1.858814,28.31845,14.29623,2.671828,353.5727,20.38791,1.218116,28.80194,42.62696,35.12634,299.3116,20.46732,1.710991,28.33617,356.4855,343.8035,11.09455,20.38791,1.218116,28.80194,42.62696,35.12634,299.3116,20.46732,1.710991,28.33617,356.4855,343.8035,281.0945,19.455,1.405,28.3,0.0,0.0,0.0
42,Archery,3,1,6,591,0,False,False,20.4053,1.859365,28.32016,14.18022,2.00954,353.7356,20.37261,1.194315,28.78287,44.96486,34.26726,298.8832,20.46569,1.708949,28.33728,357.5161,344.1362,13.94753,20.37261,1.194315,28.78287,44.96486,34.26726,298.8832,20.46569,1.708949,28.33728,357.5161,344.1362,283.9475,19.455,1.405,28.3,0.0,0.0,0.0
43,Archery,3,1,6,596,0,False,False,20.40449,1.859511,28.32197,14.05821,1.318638,353.908,20.35684,1.172614,28.76394,47.86437,33.31545,299.8311,20.46391,1.705818,28.33954,358.9087,344.4219,16.24647,20.35684,1.172614,28.76394,47.86437,33.31545,299.8311,20.46391,1.705818,28.33954,358.9087,344.4219,286.2465,19.455,1.405,28.3,0.0,0.0,0.0
44,Archery,3,1,6,610,0,False,False,20.4035,1.859835,28.3235,13.94693,0.5897765,354.0579,20.34142,1.151881,28.74514,50.55288,33.11606,302.217,20.4781,1.677174,28.34507,359.4425,343.6735,17.48399,20.34142,1.151881,28.74514,50.55288,33.11606,302.217,20.4781,1.677174,28.34507,359.4425,343.6735,287.484,19.455,1.405,28.3,0.0,0.0,0.0
45,Archery,3,1,6,625,0,False,False,20.40264,1.860391,28.32538,13.82824,359.8727,354.1251,20.32576,1.132528,28.72637,53.07611,32.88038,305.3774,20.5043,1.62898,28.35356,0.5979092,344.2613,18.60339,20.32576,1.132528,28.72637,53.07611,32.88038,305.3774,20.5043,1.62898,28.35356,0.5979102,344.2613,288.6034,19.455,1.405,28.3,0.0,0.0,0.0
46,Archery,3,1,6,638,0,False,False,20.40205,1.861072,28.32776,13.65391,359.1937,354.143,20.30968,1.114251,28.70781,55.4116,32.16251,308.4955,20.52515,1.58962,28.36068,1.631229,345.1153,19.13452,20.30968,1.114251,28.70781,55.4116,32.16251,308.4955,20.52515,1.58962,28.36068,1.631228,345.1153,289.1345,19.455,1.405,28.3,0.0,0.0,0.0
47,Archery,3,1,6,652,0,False,False,20.40143,1.861456,28.32965,13.45758,358.5512,354.1348,20.29336,1.096055,28.68968,57.37006,30.637,310.4847,20.53663,1.567615,28.36448,2.616608,346.7644,19.57846,20.29336,1.096055,28.68968,57.37006,30.637,310.4847,20.53663,1.567615,28.36448,2.616608,346.7644,289.5784,19.455,1.405,28.3,0.0,0.0,0.0
48,Archery,3,1,6,666,0,False,False,20.40066,1.861635,28.33136,13.27594,357.9815,354.14,20.27619,1.078538,28.67152,59.0326,27.69167,310.6458,20.54723,1.546292,28.36821,3.630725,348.107,19.04159,20.27619,1.078538,28.67152,59.0326,27.69167,310.6458,20.54723,1.546292,28.36821,3.630725,348.107,289.0416,19.455,1.405,28.3,0.0,0.0,0.0
49,Archery,3,1,6,680,0,False,False,20.40001,1.861603,28.33309,13.14814,357.4752,354.1338,20.25824,1.061622,28.65268,60.83154,24.4438,309.4639,20.55441,1.530769,28.37137,5.112697,349.6167,18.10727,20.25824,1.061622,28.65268,60.83154,24.4438,309.4639,20.55441,1.530769,28.37137,5.112696,349.6167,288.1073,19.455,1.405,28.3,0.0,0.0,0.0
50,Archery,3,1,6,693,0,False,False,20.39923,1.861757,28.33477,13.0356,357.0512,354.1222,20.23969,1.045884,28.63308,62.78666,20.95213,307.5022,20.56081,1.517661,28.37393,7.142453,351.2641,16.5641,20.23969,1.045884,28.63308,62.78666,20.95213,307.5022,20.56081,1.517661,28.37393,7.142454,351.2641,286.5641,19.455,1.405,28.3,0.0,0.0,0.0
51,Archery,3,1,6,708,0,False,False,20.39854,1.862035,28.33654,12.9609,356.7076,354.104,20.22079,1.031731,28.6131,65.02636,17.03301,305.1519,20.58578,1.461462,28.3868,9.732106,352.8022,13.71023,20.22079,1.031731,28.6131,65.02636,17.03301,305.1519,20.58578,1.461462,28.3868,9.732107,352.8022,283.7102,19.455,1.405,28.3,0.0,0.0,0.0
52,Archery,3,1,6,721,0,False,False,20.3977,1.862767,28.33859,12.81968,356.394,354.1594,20.2018,1.019335,28.5932,67.02248,12.45144,302.5525,20.59243,1.446986,28.38913,12.51292,354.0653,10.54453,20.2018,1.019335,28.5932,67.02248,12.45144,302.5525,20.59243,1.446986,28.38913,12.51292,354.0653,280.5445,19.455,1.405,28.3,0.0,0.0,0.0
53,Archery,3,1,6,736,0,False,False,20.39662,1.863129,28.34039,12.63017,356.0683,354.2372,20.18307,1.008615,28.5736,68.86729,6.990959,299.4783,20.59807,1.432014,28.39123,15.26958,355.1397,7.653436,20.18307,1.008615,28.5736,68.86729,6.990959,299.4783,20.59807,1.432014,28.39123,15.26958,355.1397,277.6534,19.455,1.405,28.3,0.0,0.0,0.0
54,Archery,3,1,6,749,0,False,False,20.39544,1.863021,28.34208,12.42134,355.7149,354.2754,20.16459,0.9988459,28.55413,70.55974,1.250819,296.2311,20.60324,1.417133,28.39304,17.57509,356.1897,5.389636,20.16459,0.9988459,28.55413,70.55974,1.250819,296.2311,20.60324,1.417133,28.39304,17.57509,356.1897,275.3896,19.455,1.405,28.3,0.0,0.0,0.0
55,Archery,3,1,6,763,0,False,False,20.39455,1.862972,28.34344,12.22808,355.3814,354.2206,20.14624,0.9920684,28.53454,72.15608,355.6834,292.8373,20.60789,1.402449,28.39434,19.35563,358.019,4.029492,20.14624,0.9920684,28.53454,72.15608,355.6834,292.8373,20.60789,1.402449,28.39434,19.35563,358.019,274.0295,19.455,1.405,28.3,0.0,0.0,0.0
56,Archery,3,1,6,778,0,False,False,20.39367,1.862797,28.34479,12.0835,355.0886,354.14,20.12817,0.9861879,28.51488,74.04762,350.9118,289.4978,20.6126,1.38852,28.3955,20.66946,0.4573302,3.274342,20.12817,0.9861879,28.51488,74.04762,350.9118,289.4978,20.6126,1.38852,28.3955,20.66947,0.4573292,273.2744,19.455,1.405,28.3,0.0,0.0,0.0
