,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,7,2,9,0,0,False,False,20.46559,1.878613,28.17723,358.4736,2.843673,353.9211,20.43824,1.718817,28.84591,4.397203,359.7814,0.7099806,20.48218,1.72021,28.26249,343.2731,304.903,358.4512,20.43824,1.718817,28.84591,4.397203,359.7814,0.7099806,20.48218,1.72021,28.26249,343.2731,304.903,268.4512,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,7,2,9,11,0,False,False,20.46548,1.87865,28.17752,358.4433,2.833588,353.9444,20.43837,1.718687,28.84597,4.417512,359.749,0.6041396,20.4822,1.720124,28.26251,343.2288,304.7177,358.3785,20.43837,1.718687,28.84597,4.417512,359.749,0.6041396,20.4822,1.720124,28.26251,343.2288,304.7177,268.3785,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,7,2,9,24,0,False,False,20.46536,1.878731,28.17776,358.3902,2.814945,353.9627,20.43857,1.718464,28.84614,4.432766,359.7004,0.4748792,20.48202,1.719479,28.26302,343.4089,304.507,358.2777,20.43857,1.718464,28.84614,4.432766,359.7004,0.4748792,20.48202,1.719479,28.26302,343.4089,304.507,268.2777,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,7,2,9,39,0,False,False,20.4653,1.87861,28.17797,358.3459,2.774342,353.9692,20.4387,1.718178,28.84634,4.473023,359.6602,0.4440488,20.48151,1.718761,28.26372,343.7992,304.4643,358.309,20.4387,1.718178,28.84634,4.473023,359.6602,0.4440488,20.48151,1.718761,28.26372,343.7992,304.4643,268.309,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,7,2,9,52,0,False,False,20.46505,1.878123,28.17795,358.3475,2.722125,353.9814,20.4388,1.71783,28.84658,4.520794,359.6684,0.4933561,20.48107,1.718144,28.26435,344.0439,304.5351,358.4299,20.4388,1.71783,28.84658,4.520794,359.6684,0.4933561,20.48107,1.718144,28.26435,344.0439,304.5351,268.4299,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,7,2,9,67,0,False,False,20.46503,1.87791,28.17809,358.3915,2.66547,353.9643,20.43896,1.717494,28.84684,4.549332,359.6908,0.5029833,20.48078,1.71763,28.2649,344.0885,304.6671,358.3995,20.43896,1.717494,28.84684,4.549332,359.6908,0.5029833,20.48078,1.71763,28.2649,344.0885,304.6671,268.3995,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,7,2,9,80,0,False,False,20.46509,1.87798,28.17829,358.4474,2.620056,353.9187,20.43917,1.717099,28.84708,4.571136,359.7403,0.4463305,20.48061,1.717159,28.26538,344.0569,304.7681,358.3236,20.43917,1.717099,28.84708,4.571136,359.7403,0.4463305,20.48061,1.717159,28.26538,344.0569,304.7681,268.3235,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,7,2,9,94,0,False,False,20.46511,1.877969,28.17835,358.513,2.580382,353.9189,20.43936,1.716758,28.8473,4.577428,359.7867,0.3859059,20.48037,1.716699,28.26589,344.0414,305.0074,358.3308,20.43936,1.716758,28.8473,4.577428,359.7867,0.3859059,20.48037,1.716699,28.26589,344.0415,305.0074,268.3308,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,7,2,9,107,0,False,False,20.46531,1.878247,28.17871,358.5481,2.569519,353.9462,20.43939,1.716479,28.84745,4.597188,359.8053,0.3835092,20.48008,1.716207,28.26634,344.1702,305.0965,358.2648,20.43939,1.716479,28.84745,4.597188,359.8053,0.3835092,20.48008,1.716207,28.26634,344.1702,305.0965,268.2648,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,7,2,9,121,0,False,False,20.46533,1.878256,28.17888,358.5498,2.5759,353.9598,20.43932,1.716196,28.84761,4.618146,359.7791,0.4705902,20.47972,1.715632,28.2667,344.3666,305.048,358.2071,20.43932,1.716196,28.84761,4.618146,359.7791,0.4705902,20.47972,1.715632,28.2667,344.3666,305.048,268.2071,19.455,1.405,28.3,0.0,0.0,0.0
