,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,4,2,4,0,0,False,False,20.53169,1.845866,28.22327,11.63293,5.631177,359.8936,20.52397,1.614808,28.84735,4.186557,359.7701,277.8238,20.60816,1.597019,28.31317,345.6196,337.7154,345.0401,20.52397,1.614808,28.84735,4.186557,359.7701,277.8238,20.60816,1.597019,28.31317,345.6196,337.7154,255.0401,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,4,2,4,13,0,False,False,20.53161,1.84582,28.22327,11.63066,5.621818,359.9125,20.52383,1.614547,28.84754,4.19458,359.7575,277.8083,20.60812,1.596947,28.31329,345.653,337.7461,345.0498,20.52383,1.614547,28.84754,4.19458,359.7575,277.8083,20.60812,1.596947,28.31329,345.653,337.7461,255.0498,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,4,2,4,26,0,False,False,20.53163,1.845698,28.22359,11.64218,5.613687,359.9044,20.52379,1.614373,28.84768,4.164783,359.7769,277.7952,20.60807,1.596893,28.31347,345.6538,337.7803,345.1163,20.52379,1.614373,28.84768,4.164783,359.7769,277.7952,20.60807,1.596893,28.31347,345.6538,337.7803,255.1163,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,4,2,4,40,0,False,False,20.53173,1.845695,28.2239,11.6775,5.610447,359.8819,20.5237,1.614104,28.8479,4.132235,359.8206,277.8034,20.60794,1.596784,28.31378,345.6565,337.7313,345.2095,20.5237,1.614104,28.8479,4.132235,359.8206,277.8034,20.60794,1.596784,28.31378,345.6565,337.7313,255.2095,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,4,2,4,54,0,False,False,20.53156,1.845556,28.22397,11.68652,5.614384,359.8706,20.52356,1.613821,28.84813,4.075981,359.8027,277.8403,20.60781,1.596615,28.3141,345.705,337.6661,345.2929,20.52356,1.613821,28.84813,4.075981,359.8027,277.8403,20.60781,1.596615,28.3141,345.705,337.6661,255.2929,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,4,2,4,68,0,False,False,20.53178,1.845637,28.22433,11.70013,5.626733,359.8597,20.52341,1.613444,28.84844,4.024927,359.7749,277.9138,20.60767,1.596387,28.31447,345.7779,337.6057,345.3743,20.52341,1.613444,28.84844,4.024927,359.7749,277.9138,20.60767,1.596387,28.31447,345.7779,337.6057,255.3743,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,4,2,4,82,0,False,False,20.53178,1.845839,28.22477,11.69229,5.638541,359.8697,20.52332,1.613037,28.84864,4.034044,359.7717,277.9115,20.60762,1.596168,28.31478,345.864,337.4925,345.3364,20.52332,1.613037,28.84864,4.034044,359.7717,277.9115,20.60762,1.596168,28.31478,345.864,337.4925,255.3364,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,4,2,4,95,0,False,False,20.53176,1.846082,28.22498,11.65143,5.64606,359.8881,20.52322,1.612407,28.84877,4.102301,359.764,277.8788,20.60769,1.596019,28.31504,345.9249,337.4458,345.2625,20.52322,1.612407,28.84877,4.102301,359.764,277.8788,20.60769,1.596019,28.31504,345.9249,337.4458,255.2625,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,4,2,4,110,0,False,False,20.53172,1.846127,28.22536,11.59138,5.651861,359.8969,20.52314,1.611351,28.84895,4.29447,359.8287,278.0644,20.60775,1.595886,28.31518,345.9096,337.4764,345.281,20.52314,1.611351,28.84895,4.29447,359.8287,278.0644,20.60775,1.595886,28.31518,345.9096,337.4764,255.281,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,4,2,4,123,0,False,False,20.53174,1.846012,28.22569,11.55807,5.623775,359.8763,20.52314,1.610376,28.84903,4.472655,359.8843,278.4308,20.60777,1.595698,28.31542,345.9248,337.4686,345.3315,20.52314,1.610376,28.84903,4.472655,359.8843,278.4308,20.60777,1.595698,28.31542,345.9248,337.4686,255.3315,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,4,2,4,137,0,False,False,20.53162,1.846055,28.22548,11.5296,5.608736,359.8513,20.52316,1.609659,28.8491,4.602852,359.9513,278.713,20.60781,1.595412,28.31585,346.0022,337.4789,345.3787,20.52316,1.609659,28.8491,4.602852,359.9513,278.713,20.60781,1.595412,28.31585,346.0022,337.4789,255.3787,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,4,2,4,152,0,False,False,20.53171,1.845999,28.22578,11.55057,5.574337,359.8453,20.52299,1.608855,28.84921,4.702236,0.005076336,278.7732,20.60788,1.595122,28.31626,346.0665,337.4817,345.3181,20.52299,1.608855,28.84921,4.702236,0.005076336,278.7732,20.60788,1.595122,28.31626,346.0665,337.4817,255.3181,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,4,2,4,165,0,False,False,20.53172,1.845942,28.22611,11.55735,5.540026,359.8469,20.52262,1.608009,28.84941,4.713628,359.9758,278.6631,20.60791,1.594895,28.31659,346.1199,337.4576,345.2837,20.52262,1.608009,28.84941,4.713628,359.9758,278.6631,20.60791,1.594895,28.31659,346.1199,337.4576,255.2837,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,4,2,4,179,0,False,False,20.5318,1.845965,28.22602,11.59637,5.513203,359.8375,20.52225,1.607681,28.84963,4.506699,359.9495,278.4046,20.60791,1.594679,28.3169,346.1973,337.4199,345.2886,20.52225,1.607681,28.84963,4.506699,359.9495,278.4046,20.60791,1.594679,28.3169,346.1973,337.4199,255.2886,19.455,1.405,28.3,0.0,0.0,0.0
14,Archery,4,2,4,193,0,False,False,20.5318,1.846033,28.22643,11.61529,5.475973,359.8681,20.52143,1.606472,28.85011,4.128783,359.8802,278.2485,20.6079,1.594453,28.31708,346.2123,337.3802,345.3129,20.52143,1.606472,28.85011,4.128783,359.8802,278.2485,20.6079,1.594453,28.31708,346.2123,337.3802,255.3129,19.455,1.405,28.3,0.0,0.0,0.0
15,Archery,4,2,4,207,0,False,False,20.53176,1.846111,28.22676,11.63761,5.420145,359.8883,20.52087,1.605695,28.85046,3.994695,359.7336,278.3834,20.60789,1.594225,28.31731,346.2541,337.3618,345.3452,20.52087,1.605695,28.85046,3.994695,359.7336,278.3834,20.60789,1.594225,28.31731,346.2541,337.3618,255.3452,19.455,1.405,28.3,0.0,0.0,0.0
