,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,10,2,3,0,0,False,False,19.96061,1.798779,27.76563,357.8373,4.807207,2.958248,20.03572,1.572365,28.35094,356.1255,6.530068,351.823,20.02433,1.6091,27.78702,313.6994,313.6091,40.50269,20.03572,1.572365,28.35094,356.1255,6.530068,351.823,20.02433,1.6091,27.78702,313.6994,313.6091,310.5027,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,10,2,3,13,0,False,False,19.9597,1.798913,27.76629,357.8681,4.603386,3.110909,20.03618,1.572261,28.35056,356.014,6.654153,351.6759,20.0243,1.608958,27.78685,313.6688,313.5612,40.72665,20.03618,1.572261,28.35056,356.014,6.654153,351.6759,20.0243,1.608958,27.78685,313.6688,313.5612,310.7266,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,10,2,3,26,0,False,False,19.95889,1.79898,27.7669,357.8749,4.38744,3.248664,20.03671,1.571939,28.35031,355.8784,6.793237,351.4309,20.0242,1.60874,27.78698,313.6995,313.5903,40.83834,20.03671,1.571939,28.35031,355.8784,6.793237,351.4309,20.0242,1.60874,27.78698,313.6995,313.5903,310.8383,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,10,2,3,40,0,False,False,19.9577,1.798739,27.76751,357.8781,4.134511,3.386196,20.03728,1.571576,28.35006,355.8403,6.945988,351.1776,20.02414,1.608534,27.78712,313.7466,313.5949,40.949,20.03728,1.571576,28.35006,355.8403,6.945988,351.1776,20.02414,1.608534,27.78712,313.7466,313.5949,310.949,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,10,2,3,54,0,False,False,19.9569,1.798661,27.76805,357.8845,3.887514,3.536828,20.03788,1.571404,28.34975,355.8309,7.073443,351.0527,20.02418,1.608395,27.78727,313.7784,313.6651,40.99384,20.03788,1.571404,28.34975,355.8309,7.073443,351.0527,20.02418,1.608395,27.78727,313.7784,313.6651,310.9938,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,10,2,3,68,0,False,False,19.95608,1.798565,27.76841,357.9159,3.627705,3.673683,20.03845,1.571194,28.34954,355.7832,7.202049,351.0079,20.02428,1.608265,27.78749,313.7989,313.8118,40.99818,20.03845,1.571194,28.34954,355.7832,7.202049,351.0079,20.02428,1.608265,27.78749,313.7989,313.8118,310.9982,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,10,2,3,83,0,False,False,19.95523,1.798401,27.76908,357.9285,3.378536,3.835838,20.03904,1.570942,28.34937,355.775,7.312847,350.9341,20.02441,1.608211,27.78772,313.7981,313.9398,40.95401,20.03904,1.570942,28.34937,355.775,7.312847,350.9341,20.02441,1.608211,27.78772,313.7981,313.9398,310.954,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,10,2,3,106,0,False,False,19.95444,1.79838,27.76963,357.9331,3.137124,3.982984,20.03954,1.570616,28.34915,355.7797,7.379062,350.8484,20.02474,1.607332,27.78797,313.7476,314.1201,40.87275,20.03954,1.570616,28.34915,355.7797,7.379062,350.8484,20.02474,1.607332,27.78797,313.7477,314.1201,310.8727,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,10,2,3,111,0,False,False,19.95372,1.798311,27.77011,357.9078,2.916649,4.093988,20.04002,1.5702,28.349,355.8331,7.382456,350.7746,20.02506,1.606425,27.78836,313.7203,314.3565,40.76642,20.04002,1.5702,28.349,355.8331,7.382456,350.7746,20.02506,1.606425,27.78836,313.7203,314.3565,310.7664,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,10,2,3,123,0,False,False,19.95302,1.798405,27.77072,357.8973,2.696653,4.191036,20.04046,1.569835,28.34887,355.8865,7.39683,350.8368,20.02532,1.605964,27.78896,313.7524,314.6873,40.56867,20.04046,1.569835,28.34887,355.8865,7.39683,350.8368,20.02532,1.605964,27.78896,313.7524,314.6873,310.5687,19.455,1.405,28.3,0.0,0.0,0.0
