,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,16,2,8,0,0,False,False,20.07438,1.941411,28.00476,19.75928,10.44055,358.3076,20.17744,1.707975,28.57482,6.506402,4.46088,335.6124,20.07144,1.728008,28.0202,316.7892,352.1564,354.8703,20.17744,1.707975,28.57482,6.506402,4.46088,335.6124,20.07144,1.728008,28.0202,316.7892,352.1564,264.8703,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,16,2,8,11,0,False,False,20.07421,1.941332,28.00487,19.7566,10.39975,358.3191,20.17736,1.707844,28.57484,6.536327,4.514987,335.6589,20.07159,1.727806,28.02075,316.8965,352.3128,354.7331,20.17736,1.707844,28.57484,6.536327,4.514987,335.6589,20.07159,1.727806,28.02075,316.8965,352.3128,264.7331,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,16,2,8,26,0,False,False,20.07404,1.941268,28.00518,19.77696,10.34324,358.3566,20.17708,1.707478,28.57484,6.645103,4.644837,335.7682,20.07182,1.727663,28.02164,317.0723,352.4664,354.4002,20.17708,1.707478,28.57484,6.645103,4.644837,335.7682,20.07182,1.727663,28.02164,317.0723,352.4664,264.4002,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,16,2,8,39,0,False,False,20.07381,1.941236,28.00559,19.81207,10.2659,358.3734,20.17662,1.706964,28.57486,6.695943,4.631571,335.7276,20.0721,1.727518,28.02248,317.3619,352.6151,354.049,20.17662,1.706964,28.57486,6.695943,4.631571,335.7276,20.0721,1.727518,28.02248,317.3619,352.6151,264.049,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,16,2,8,53,0,False,False,20.07375,1.941236,28.00576,19.84113,10.17263,358.3706,20.17587,1.706216,28.57488,6.726099,4.477257,335.6266,20.07249,1.727256,28.02341,317.6044,352.6558,353.9223,20.17587,1.706216,28.57488,6.726099,4.477257,335.6266,20.07249,1.727256,28.02341,317.6044,352.6558,263.9223,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,16,2,8,68,0,False,False,20.07352,1.941267,28.00621,19.86476,10.08254,358.3582,20.17543,1.705747,28.57468,6.720503,4.493989,335.7173,20.07268,1.727049,28.02446,317.6832,352.663,353.977,20.17543,1.705747,28.57468,6.720503,4.493989,335.7173,20.07268,1.727049,28.02446,317.6832,352.663,263.977,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,16,2,8,81,0,False,False,20.07335,1.941278,28.00667,19.87784,9.980519,358.3505,20.17512,1.705244,28.57449,6.667978,4.506359,335.6937,20.07273,1.726855,28.02545,317.7601,352.6351,354.1223,20.17512,1.705244,28.57449,6.667978,4.506359,335.6937,20.07273,1.726855,28.02545,317.7601,352.6351,264.1223,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,16,2,8,95,0,False,False,20.07325,1.94119,28.00673,19.90669,9.887656,358.3546,20.17436,1.703908,28.57398,6.463458,4.434324,335.3531,20.07273,1.726667,28.02593,317.8109,352.6638,354.2527,20.17436,1.703908,28.57398,6.463458,4.434324,335.3531,20.07273,1.726667,28.02593,317.8109,352.6638,264.2527,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,16,2,8,113,0,False,False,20.07308,1.941211,28.00718,19.93739,9.790825,358.3719,20.17399,1.702804,28.57347,6.243945,4.354364,334.7742,20.07261,1.726521,28.02676,318.0375,352.7867,354.4987,20.17399,1.702804,28.57347,6.243945,4.354364,334.7742,20.07261,1.726521,28.02676,318.0375,352.7867,264.4987,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,16,2,8,123,0,False,False,20.0728,1.941165,28.00767,19.97139,9.692334,358.4028,20.17357,1.701489,28.57292,6.07414,4.33698,334.2902,20.07239,1.726308,28.02777,318.347,352.8754,354.813,20.17357,1.701489,28.57292,6.07414,4.33698,334.2902,20.07239,1.726308,28.02777,318.347,352.8754,264.8129,19.455,1.405,28.3,0.0,0.0,0.0
