,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,5,2,10,0,0,False,False,20.12982,1.831987,27.82386,8.048107,4.200369,359.6581,20.15144,1.722516,28.44172,6.085166,6.227139,358.6141,20.19845,1.627141,27.85963,355.1885,313.8904,15.86158,20.15144,1.722516,28.44172,6.085166,6.227139,358.6141,20.19845,1.627141,27.85963,355.1885,313.8904,285.8616,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,5,2,10,11,0,False,False,20.1299,1.832107,27.82405,8.027684,4.281609,359.7183,20.15143,1.723177,28.44269,6.049659,5.978054,358.4889,20.1989,1.626768,27.85616,355.3282,313.8593,15.85547,20.15143,1.723177,28.44269,6.049659,5.978054,358.4889,20.1989,1.626768,27.85616,355.3282,313.8593,285.8555,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,5,2,10,25,0,False,False,20.13,1.832229,27.82435,8.029867,4.358283,359.7596,20.15144,1.724042,28.44342,5.806927,5.607469,358.189,20.19945,1.626606,27.85275,355.5152,313.6696,15.63242,20.15144,1.724042,28.44342,5.806927,5.607469,358.189,20.19945,1.626606,27.85275,355.5152,313.6696,285.6324,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,5,2,10,39,0,False,False,20.13005,1.832162,27.82433,8.053103,4.438941,359.7629,20.15142,1.725026,28.44378,5.453762,5.30934,358.1555,20.19995,1.626593,27.84982,355.7896,313.6603,15.43377,20.15142,1.725026,28.44378,5.453762,5.30934,358.1555,20.19995,1.626593,27.84982,355.7896,313.6603,285.4338,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,5,2,10,52,0,False,False,20.13003,1.832189,27.8246,8.094964,4.522983,359.7547,20.15148,1.725912,28.44397,5.208535,5.230562,358.53,20.20038,1.626708,27.84801,356.1663,314.4266,15.72003,20.15148,1.725912,28.44397,5.208535,5.230562,358.53,20.20038,1.626708,27.84801,356.1663,314.4266,285.72,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,5,2,10,66,0,False,False,20.13001,1.832213,27.82481,8.10145,4.599785,359.7141,20.15168,1.726444,28.444,5.195599,5.3613,359.0118,20.20092,1.626788,27.84702,356.4699,315.6447,16.45625,20.15168,1.726444,28.444,5.195599,5.3613,359.0118,20.20092,1.626788,27.84702,356.4699,315.6448,286.4562,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,5,2,10,80,0,False,False,20.13014,1.832265,27.82489,8.122337,4.654426,359.6849,20.15202,1.726498,28.44383,5.30836,5.55313,359.2978,20.20156,1.626676,27.8455,356.2545,316.3496,17.75275,20.15202,1.726498,28.44383,5.30836,5.55313,359.2978,20.20156,1.626676,27.8455,356.2545,316.3496,287.7527,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,5,2,10,94,0,False,False,20.13009,1.832163,27.82496,8.1391,4.737368,359.6035,20.15245,1.726155,28.4436,5.35364,5.734811,359.2468,20.20257,1.626402,27.84303,355.88,316.0981,19.00065,20.15245,1.726155,28.4436,5.35364,5.734811,359.2468,20.20257,1.626402,27.84303,355.88,316.0981,289.0006,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,5,2,10,108,0,False,False,20.12997,1.831864,27.82502,8.177873,4.819597,359.4769,20.15258,1.725524,28.44339,5.402108,5.75124,358.9433,20.20389,1.626207,27.84089,355.7861,315.7969,19.23262,20.15258,1.725524,28.44339,5.402108,5.75124,358.9433,20.20389,1.626207,27.84089,355.7861,315.7969,289.2326,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,5,2,10,122,0,False,False,20.12993,1.831778,27.82519,8.244987,4.935701,359.3737,20.1531,1.725074,28.44339,5.385998,5.794086,358.7495,20.2045,1.625806,27.83842,357.5943,311.8531,16.92458,20.1531,1.725074,28.44339,5.385998,5.794086,358.7495,20.2045,1.625806,27.83842,357.5943,311.8531,286.9246,19.455,1.405,28.3,0.0,0.0,0.0
