,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,6,1,11,0,0,False,False,20.36769,1.813767,28.04878,17.10367,11.66265,337.162,20.36688,1.676732,28.65175,0.7903586,0.7082653,349.5163,20.39892,1.665329,28.13414,348.389,340.6646,17.85704,20.36688,1.676732,28.65175,0.7903586,0.7082653,349.5163,20.39892,1.665329,28.13414,348.389,340.6646,287.857,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,6,1,11,5,0,False,False,20.36735,1.813509,28.04863,17.02437,11.54814,337.0247,20.36678,1.676522,28.65187,0.8408968,0.5513698,349.5634,20.3989,1.664833,28.13484,348.6308,340.719,17.73153,20.36678,1.676522,28.65187,0.8408968,0.5513698,349.5634,20.3989,1.664833,28.13484,348.6308,340.719,287.7315,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,6,1,11,14,0,False,False,20.36728,1.813585,28.04858,17.00825,11.44917,336.9626,20.36697,1.676452,28.65195,0.9005604,0.580763,349.5249,20.39885,1.664541,28.13529,348.6535,340.6984,17.65447,20.36697,1.676452,28.65195,0.9005604,0.580763,349.5249,20.39885,1.664541,28.13529,348.6535,340.6984,287.6544,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,6,1,11,28,0,False,False,20.36782,1.813721,28.04851,17.02913,11.37133,336.9846,20.36716,1.676416,28.652,0.9363611,0.6004602,349.4958,20.39904,1.662771,28.13506,348.7781,338.277,17.49333,20.36716,1.676416,28.652,0.9363611,0.6004602,349.4958,20.39904,1.662771,28.13506,348.7781,338.277,287.4933,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,6,1,11,42,0,False,False,20.36781,1.813963,28.04866,17.03708,11.33643,337.1246,20.36741,1.676369,28.65203,0.9889665,0.6734461,349.4648,20.40068,1.657418,28.13528,348.8996,338.3461,17.34166,20.36741,1.676369,28.65203,0.9889665,0.6734461,349.4648,20.40068,1.657418,28.13528,348.8996,338.3461,287.3416,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,6,1,11,55,0,False,False,20.36757,1.814037,28.04878,16.99914,11.31046,337.2357,20.36758,1.676355,28.65203,0.9922142,0.7413043,349.4798,20.40074,1.657318,28.1351,348.8395,338.3201,17.3902,20.36758,1.676355,28.65203,0.9922142,0.7413043,349.4798,20.40074,1.657318,28.1351,348.8395,338.3201,287.3902,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,6,1,11,70,0,False,False,20.36714,1.814009,28.04874,16.9405,11.28598,337.2841,20.36765,1.676425,28.65202,0.9177087,0.7667567,349.563,20.40034,1.656916,28.13431,348.4116,338.7769,17.82448,20.36765,1.676425,28.65202,0.9177087,0.7667567,349.563,20.40034,1.656916,28.13431,348.4116,338.7769,287.8245,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,6,1,11,84,0,False,False,20.36686,1.813923,28.04844,16.94088,11.22495,337.3111,20.36767,1.676466,28.65198,0.836158,0.7551788,349.6375,20.4005,1.655987,28.13367,348.4391,338.5817,18.22559,20.36767,1.676466,28.65198,0.836158,0.7551788,349.6375,20.4005,1.655987,28.13367,348.4391,338.5817,288.2256,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,6,1,11,98,0,False,False,20.36659,1.814255,28.04868,16.9248,11.15929,337.321,20.36768,1.676407,28.65192,0.7786406,0.7463363,349.6459,20.40078,1.655303,28.13336,348.5128,338.5667,18.35853,20.36768,1.676407,28.65192,0.7786406,0.7463363,349.6459,20.40078,1.655303,28.13336,348.5128,338.5667,288.3585,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,6,1,11,111,0,False,False,20.36636,1.814698,28.04899,16.87152,11.0589,337.3824,20.3677,1.67629,28.65181,0.6826246,0.7394035,349.6444,20.40099,1.6547,28.13312,348.5733,338.6869,18.39078,20.3677,1.67629,28.65181,0.6826246,0.7394035,349.6444,20.40099,1.6547,28.13312,348.5733,338.6869,288.3907,19.455,1.405,28.3,0.0,0.0,0.0
