,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,2,2,10,0,0,False,False,20.31574,1.804965,28.18269,18.38202,1.191533,6.49963,20.40725,1.597636,28.79631,1.407809,0.5808235,358.0599,20.43333,1.584981,28.08567,333.8267,342.8389,1.232255,20.40725,1.597636,28.79631,1.407809,0.5808235,358.0599,20.43333,1.584981,28.08567,333.8267,342.8389,271.2322,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,2,2,10,11,0,False,False,20.31584,1.804983,28.18272,18.39039,1.209143,6.506628,20.40689,1.597539,28.79653,1.440535,0.5126615,358.1708,20.43343,1.585128,28.08568,333.7831,342.8614,1.226608,20.40689,1.597539,28.79653,1.440535,0.5126615,358.1708,20.43343,1.585128,28.08568,333.7831,342.8614,271.2266,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,2,2,10,24,0,False,False,20.31594,1.805171,28.18288,18.37349,1.228866,6.506596,20.40658,1.597336,28.79666,1.484597,0.3881291,358.1441,20.43355,1.58528,28.08575,333.7701,342.8902,1.196851,20.40658,1.597336,28.79666,1.484597,0.3881291,358.1441,20.43355,1.58528,28.08575,333.77,342.8902,271.1968,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,2,2,10,38,0,False,False,20.31604,1.805313,28.18308,18.35411,1.245517,6.515301,20.40616,1.597034,28.79677,1.450963,0.1880168,358.0584,20.43366,1.585435,28.08581,333.7631,342.916,1.169694,20.40616,1.597034,28.79677,1.450963,0.1880168,358.0584,20.43366,1.585435,28.08581,333.7631,342.916,271.1697,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,2,2,10,52,0,False,False,20.31602,1.805407,28.18324,18.30524,1.249343,6.521105,20.4058,1.596599,28.79679,1.472933,0.09199351,358.0376,20.4337,1.585561,28.08581,333.7495,342.9205,1.169208,20.4058,1.596599,28.79679,1.472933,0.09199351,358.0376,20.4337,1.585561,28.08581,333.7495,342.9205,271.1692,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,2,2,10,66,0,False,False,20.31598,1.805428,28.18331,18.28374,1.217284,6.479382,20.40545,1.595877,28.79682,1.66922,0.08896992,358.144,20.43374,1.585807,28.08574,333.7092,342.8967,1.196907,20.40545,1.595877,28.79682,1.66922,0.08896992,358.144,20.43374,1.585807,28.08574,333.7092,342.8967,271.1969,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,2,2,10,80,0,False,False,20.31602,1.805542,28.18337,18.2703,1.180125,6.416647,20.40499,1.594814,28.79683,2.016434,0.07583327,358.3057,20.43374,1.586057,28.0857,333.6904,342.8531,1.280875,20.40499,1.594814,28.79683,2.016434,0.07583327,358.3057,20.43374,1.586057,28.0857,333.6904,342.8531,271.2809,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,2,2,10,94,0,False,False,20.31617,1.805728,28.18358,18.27479,1.144296,6.368932,20.40459,1.593833,28.79672,2.311666,0.08191735,358.5473,20.43376,1.586243,28.08576,333.6875,342.8167,1.358001,20.40459,1.593833,28.79672,2.311666,0.08191735,358.5473,20.43376,1.586243,28.08576,333.6875,342.8167,271.358,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,2,2,10,107,0,False,False,20.31614,1.806019,28.1839,18.27372,1.08929,6.332461,20.4041,1.592772,28.79649,2.625939,0.08259743,358.8833,20.43383,1.586402,28.0859,333.7127,342.794,1.345958,20.4041,1.592772,28.79649,2.625939,0.08259743,358.8833,20.43383,1.586402,28.0859,333.7127,342.794,271.3459,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,2,2,10,121,0,False,False,20.31614,1.806095,28.18414,18.23919,1.021881,6.297557,20.40356,1.591659,28.79612,2.875915,0.1174233,359.2152,20.43397,1.586661,28.08627,333.8036,342.7039,1.272208,20.40356,1.591659,28.79612,2.875915,0.1174233,359.2152,20.43397,1.586661,28.08627,333.8036,342.7039,271.2722,19.455,1.405,28.3,0.0,0.0,0.0
