,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,3,1,12,0,0,False,False,20.40262,1.852738,28.30774,16.67649,13.71334,355.9276,20.44529,1.704663,29.04691,3.289109,358.9628,357.7328,20.45205,1.737803,28.30166,341.4292,341.4012,2.391603,20.44529,1.704663,29.04691,3.289109,358.9628,357.7328,20.45205,1.737803,28.30166,341.4292,341.4012,272.3916,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,3,1,12,12,0,False,False,20.40242,1.852802,28.30764,16.63854,13.71943,355.9749,20.44547,1.705145,29.04682,3.220136,358.9666,357.9152,20.452,1.737683,28.30184,341.4182,341.4685,2.377877,20.44547,1.705145,29.04682,3.220136,358.9666,357.9152,20.452,1.737683,28.30184,341.4182,341.4685,272.3779,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,3,1,12,25,0,False,False,20.40253,1.85294,28.30763,16.62266,13.70224,356.0002,20.44564,1.7055,29.04674,3.178118,358.918,357.9969,20.45229,1.737664,28.30196,341.4296,341.5237,2.332776,20.44564,1.7055,29.04674,3.178118,358.918,357.9969,20.45229,1.737664,28.30196,341.4296,341.5237,272.3328,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,3,1,12,40,0,False,False,20.40254,1.853025,28.30738,16.6008,13.6691,356.0598,20.44601,1.705704,29.04659,3.078163,358.8602,357.8077,20.45237,1.737597,28.30213,341.5005,341.5016,2.279139,20.44601,1.705704,29.04659,3.078163,358.8602,357.8077,20.45237,1.737597,28.30213,341.5005,341.5016,272.2791,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,3,1,12,53,0,False,False,20.40261,1.85301,28.30757,16.56763,13.65673,356.073,20.44705,1.705885,29.04615,2.835007,358.8265,357.2995,20.45238,1.73748,28.30229,341.6003,341.4123,2.198152,20.44705,1.705885,29.04615,2.835007,358.8265,357.2995,20.45238,1.73748,28.30229,341.6003,341.4123,272.1982,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,3,1,12,67,0,False,False,20.40268,1.853005,28.30712,16.52839,13.65811,356.0236,20.44809,1.705637,29.0459,2.832385,359.0749,356.8912,20.45229,1.737307,28.30233,341.7264,341.301,2.105159,20.44809,1.705637,29.0459,2.832385,359.0749,356.8912,20.45229,1.737307,28.30233,341.7264,341.301,272.1052,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,3,1,12,90,0,False,False,20.40287,1.853163,28.30728,16.49331,13.66534,355.9975,20.44916,1.70546,29.0456,2.91246,359.445,356.8189,20.45218,1.73714,28.3024,341.8565,341.1795,1.997833,20.44916,1.70546,29.0456,2.91246,359.445,356.8189,20.45218,1.73714,28.3024,341.8565,341.1795,271.9978,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,3,1,12,95,0,False,False,20.40297,1.853173,28.30713,16.46999,13.6768,355.9972,20.45033,1.705351,29.04522,2.910562,359.8655,356.9038,20.45194,1.736908,28.30236,341.9501,341.0347,1.932287,20.45033,1.705351,29.04522,2.910562,359.8655,356.9038,20.45194,1.736908,28.30236,341.9501,341.0347,271.9323,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,3,1,12,109,0,False,False,20.40281,1.853189,28.30702,16.46827,13.65915,356.015,20.45135,1.705202,29.04486,2.832511,0.1320803,356.8796,20.45182,1.736688,28.30247,342.0485,340.9459,1.874832,20.45135,1.705202,29.04486,2.832511,0.1320803,356.8796,20.45182,1.736688,28.30247,342.0485,340.9459,271.8748,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,3,1,12,123,0,False,False,20.4027,1.853224,28.30715,16.46413,13.60676,355.9937,20.45225,1.704892,29.04456,2.807654,0.2371105,356.6876,20.45173,1.73655,28.30255,342.0211,340.9728,1.880989,20.45225,1.704892,29.04456,2.807654,0.2371105,356.6876,20.45173,1.73655,28.30255,342.0211,340.9728,271.881,19.455,1.405,28.3,0.0,0.0,0.0
