,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,16,1,7,0,0,False,False,20.09937,2.005218,27.52237,15.51112,10.5603,5.966694,20.17185,1.882974,28.17974,5.188146,3.482982,357.7724,20.15789,1.902939,27.54704,302.9084,348.9849,1.191922,20.17185,1.882974,28.17974,5.188146,3.482982,357.7724,20.15789,1.902939,27.54704,302.9084,348.9849,271.1919,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,16,1,7,12,0,False,False,20.09937,2.005346,27.52304,15.54669,10.43279,5.841195,20.17148,1.882891,28.17957,5.203299,3.434469,357.8303,20.15807,1.902931,27.54726,302.8918,349.0874,1.077154,20.17148,1.882891,28.17957,5.203299,3.434469,357.8303,20.15807,1.902931,27.54726,302.8918,349.0874,271.0771,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,16,1,7,26,0,False,False,20.09915,2.005429,27.52315,15.51543,10.31834,5.771066,20.17115,1.882538,28.17944,5.260583,3.384758,357.7684,20.15829,1.902924,27.54741,302.8787,349.2042,0.9664947,20.17115,1.882538,28.17944,5.260583,3.384758,357.7684,20.15829,1.902924,27.54741,302.8788,349.2042,270.9665,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,16,1,7,39,0,False,False,20.09878,2.005159,27.52314,15.53572,10.19647,5.742438,20.17075,1.881986,28.17922,5.351783,3.324117,357.6554,20.15845,1.902701,27.54735,302.8776,349.3187,0.8934902,20.17075,1.881986,28.17922,5.351783,3.324117,357.6554,20.15845,1.902701,27.54735,302.8776,349.3187,270.8935,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,16,1,7,54,0,False,False,20.09829,2.004777,27.52333,15.56356,10.04549,5.662618,20.17049,1.881462,28.17899,5.391473,3.389863,357.7523,20.15855,1.90267,27.54756,302.8943,349.3233,0.8967586,20.17049,1.881462,28.17899,5.391473,3.389863,357.7523,20.15855,1.90267,27.54756,302.8943,349.3233,270.8967,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,16,1,7,67,0,False,False,20.09787,2.004741,27.52357,15.59518,9.886759,5.547399,20.16998,1.880429,28.17856,5.536505,3.508792,357.9879,20.15854,1.902647,27.54774,302.9022,349.3374,0.9088999,20.16998,1.880429,28.17856,5.536505,3.508792,357.9879,20.15854,1.902647,27.54774,302.9022,349.3374,270.9089,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,16,1,7,80,0,False,False,20.09726,2.00474,27.52376,15.65171,9.719092,5.450752,20.16978,1.879223,28.17824,5.689405,3.516916,358.0236,20.1584,1.902551,27.54776,302.9273,349.3905,0.9180667,20.16978,1.879223,28.17824,5.689405,3.516916,358.0236,20.1584,1.902551,27.54776,302.9273,349.3905,270.9181,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,16,1,7,95,0,False,False,20.09661,2.004738,27.52419,15.71535,9.51924,5.366992,20.16981,1.878333,28.1779,5.65306,3.63067,357.8744,20.15837,1.902552,27.54796,302.9403,349.4957,0.8961409,20.16981,1.878333,28.1779,5.65306,3.63067,357.8744,20.15837,1.902552,27.54796,302.9403,349.4957,270.8961,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,16,1,7,109,0,False,False,20.09553,2.004898,27.52455,15.77623,9.286876,5.273863,20.16972,1.877324,28.1775,5.548281,3.685399,357.6932,20.1584,1.90258,27.54814,302.9423,349.6545,0.8304778,20.16972,1.877324,28.1775,5.548281,3.685399,357.6932,20.1584,1.90258,27.54814,302.9423,349.6545,270.8305,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,16,1,7,122,0,False,False,20.0947,2.005086,27.52524,15.81173,9.021585,5.220923,20.16944,1.876135,28.17719,5.537406,3.610941,357.4602,20.15817,1.902658,27.54828,302.9478,349.8263,0.7542759,20.16944,1.876135,28.17719,5.537406,3.610941,357.4602,20.15817,1.902658,27.54828,302.9478,349.8263,270.7543,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,16,1,7,136,0,False,False,20.09384,2.005286,27.52564,15.79434,8.741266,5.184689,20.16893,1.874877,28.17703,5.665165,3.438666,357.3415,20.15813,1.902714,27.54858,302.9885,349.9531,0.6755747,20.16893,1.874877,28.17703,5.665165,3.438666,357.3415,20.15813,1.902714,27.54858,302.9885,349.9531,270.6756,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,16,1,7,150,0,False,False,20.09266,2.005249,27.52627,15.79778,8.455333,5.18549,20.16832,1.873693,28.17679,5.71101,3.38714,357.4651,20.15789,1.902799,27.54918,303.0893,350.046,0.5692453,20.16832,1.873693,28.17679,5.71101,3.38714,357.4651,20.15789,1.902799,27.54918,303.0892,350.046,270.5692,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,16,1,7,164,0,False,False,20.09156,2.005069,27.52666,15.81105,8.138633,5.2188,20.16759,1.872334,28.17656,5.691425,3.42811,357.6776,20.15756,1.902865,27.54983,303.1925,350.1587,0.4562086,20.16759,1.872334,28.17656,5.691425,3.42811,357.6776,20.15756,1.902865,27.54983,303.1925,350.1587,270.4562,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,16,1,7,179,0,False,False,20.09068,2.004928,27.52707,15.87083,7.781837,5.311288,20.1668,1.870739,28.1766,5.804657,3.243225,357.5674,20.15742,1.902894,27.55053,303.3,350.4299,0.2993715,20.1668,1.870739,28.1766,5.804657,3.243225,357.5674,20.15742,1.902894,27.55053,303.3,350.4299,270.2994,19.455,1.405,28.3,0.0,0.0,0.0
14,Archery,16,1,7,192,0,False,False,20.08922,2.004834,27.52756,15.94978,7.417389,5.372184,20.16607,1.869037,28.17672,5.934366,3.105668,357.4442,20.15703,1.903142,27.55132,303.4101,350.83,0.07279352,20.16607,1.869037,28.17672,5.934366,3.105668,357.4442,20.15703,1.903142,27.55132,303.4101,350.83,270.0728,19.455,1.405,28.3,0.0,0.0,0.0
15,Archery,16,1,7,206,0,False,False,20.08819,2.004595,27.52802,16.08026,7.028303,5.34864,20.16549,1.867312,28.17675,6.048216,3.135347,357.4631,20.15705,1.903196,27.55202,303.4983,351.2468,359.7747,20.16549,1.867312,28.17675,6.048216,3.135347,357.4631,20.15705,1.903196,27.55202,303.4983,351.2468,269.7747,19.455,1.405,28.3,0.0,0.0,0.0
16,Archery,16,1,7,220,0,False,False,20.08716,2.004554,27.52854,16.21727,6.637638,5.28534,20.16494,1.865453,28.17675,6.142811,3.241907,357.3952,20.15717,1.90326,27.55276,303.6468,351.7504,359.3308,20.16494,1.865453,28.17675,6.142811,3.241907,357.3952,20.15717,1.90326,27.55276,303.6468,351.7504,269.3308,19.455,1.405,28.3,0.0,0.0,0.0
17,Archery,16,1,7,234,0,False,False,20.08604,2.004794,27.52903,16.33758,6.270884,5.259165,20.16446,1.863508,28.17668,6.235927,3.23031,357.0922,20.1571,1.903435,27.55348,303.8068,352.2677,358.7959,20.16446,1.863508,28.17668,6.235927,3.23031,357.0922,20.1571,1.903435,27.55348,303.8068,352.2677,268.7959,19.455,1.405,28.3,0.0,0.0,0.0
18,Archery,16,1,7,248,0,False,False,20.08515,2.004752,27.52966,16.44015,5.935489,5.271002,20.16401,1.861418,28.17658,6.353153,3.178635,356.6652,20.15738,1.903515,27.55431,303.9347,352.8057,358.2281,20.16401,1.861418,28.17658,6.353153,3.178635,356.6652,20.15738,1.903515,27.55431,303.9347,352.8057,268.2281,19.455,1.405,28.3,0.0,0.0,0.0
19,Archery,16,1,7,262,0,False,False,20.08436,2.00462,27.53018,16.5315,5.628513,5.315666,20.16329,1.859389,28.17647,6.406608,3.153404,356.5353,20.15767,1.903577,27.55504,304.0601,353.256,357.8387,20.16329,1.859389,28.17647,6.406608,3.153404,356.5353,20.15767,1.903577,27.55504,304.0601,353.256,267.8387,19.455,1.405,28.3,0.0,0.0,0.0
20,Archery,16,1,7,276,0,False,False,20.08328,2.004483,27.53044,16.61718,5.346159,5.365846,20.1624,1.857199,28.17625,6.429697,3.091923,356.5314,20.15764,1.903612,27.55575,304.2429,353.6634,357.4858,20.1624,1.857199,28.17625,6.429697,3.091923,356.5314,20.15764,1.903612,27.55575,304.2429,353.6634,267.4858,19.455,1.405,28.3,0.0,0.0,0.0
21,Archery,16,1,7,289,0,False,False,20.0825,2.004181,27.5308,16.70423,5.098233,5.425115,20.16154,1.854822,28.17612,6.548952,3.015346,356.4195,20.158,1.903634,27.55671,304.4147,354.1457,357.1227,20.16154,1.854822,28.17612,6.548952,3.015346,356.4195,20.158,1.903634,27.55671,304.4147,354.1457,267.1227,19.455,1.405,28.3,0.0,0.0,0.0
22,Archery,16,1,7,304,0,False,False,20.08161,2.003906,27.53125,16.83865,4.87348,5.441075,20.16064,1.852319,28.17601,6.628201,2.915799,356.1956,20.1584,1.903646,27.55766,304.5412,354.7811,356.6702,20.16064,1.852319,28.17601,6.628201,2.915799,356.1956,20.1584,1.903646,27.55766,304.5412,354.7811,266.6702,19.455,1.405,28.3,0.0,0.0,0.0
23,Archery,16,1,7,322,0,False,False,20.08069,2.00401,27.53168,16.94026,4.686703,5.372774,20.15975,1.849746,28.17587,6.701321,2.919271,356.0305,20.15865,1.903751,27.55846,304.6872,355.3719,356.2052,20.15975,1.849746,28.17587,6.701321,2.919271,356.0305,20.15865,1.903751,27.55846,304.6872,355.3719,266.2051,19.455,1.405,28.3,0.0,0.0,0.0
