,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,5,2,8,0,0,False,False,20.14079,1.82977,27.8378,8.482732,7.696678,355.8838,20.15653,1.671305,28.4418,4.409621,2.60108,356.1299,20.22333,1.628545,27.86049,359.9412,308.9773,8.967374,20.15653,1.671305,28.4418,4.409621,2.60108,356.1299,20.22333,1.628545,27.86049,359.9412,308.9773,278.9674,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,5,2,8,12,0,False,False,20.14054,1.829827,27.83821,8.485246,7.736499,355.92,20.15597,1.67039,28.44207,4.40535,2.561352,356.0491,20.22331,1.628887,27.86071,359.7612,309.2234,8.869022,20.15597,1.67039,28.44207,4.40535,2.561352,356.0491,20.22331,1.628887,27.86071,359.7612,309.2234,278.869,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,5,2,8,26,0,False,False,20.14018,1.829877,27.83859,8.465929,7.767618,355.9264,20.15534,1.66942,28.44235,4.461082,2.527261,355.9472,20.22335,1.629497,27.86083,359.522,309.1779,8.539044,20.15534,1.66942,28.44235,4.461082,2.527261,355.9472,20.22335,1.629497,27.86083,359.522,309.1779,278.539,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,5,2,8,40,0,False,False,20.1397,1.829878,27.83886,8.448751,7.772626,355.9016,20.15458,1.668402,28.44268,4.56464,2.418807,355.8613,20.22349,1.630327,27.86098,359.1359,309.0226,8.024433,20.15458,1.668402,28.44268,4.56464,2.418807,355.8613,20.22349,1.630327,27.86098,359.1359,309.0226,278.0244,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,5,2,8,54,0,False,False,20.13937,1.829829,27.83916,8.463592,7.765291,355.8635,20.15374,1.667393,28.44299,4.612353,2.328868,355.8877,20.22363,1.631198,27.86118,358.6881,308.7967,7.58813,20.15374,1.667393,28.44299,4.612353,2.328868,355.8877,20.22363,1.631198,27.86118,358.6881,308.7967,277.5881,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,5,2,8,68,0,False,False,20.13897,1.829754,27.83938,8.486724,7.760255,355.8394,20.15291,1.666327,28.44331,4.691247,2.27121,355.955,20.22366,1.631985,27.86164,358.2938,308.7666,7.301278,20.15291,1.666327,28.44331,4.691247,2.27121,355.955,20.22366,1.631985,27.86164,358.2938,308.7666,277.3013,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,5,2,8,81,0,False,False,20.13866,1.829856,27.8396,8.511472,7.74089,355.8031,20.15205,1.665192,28.44361,4.797308,2.233848,355.9363,20.22352,1.632555,27.86237,358.024,308.8888,7.116856,20.15205,1.665192,28.44361,4.797308,2.233848,355.9363,20.22352,1.632555,27.86237,358.024,308.8888,277.1169,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,5,2,8,96,0,False,False,20.13841,1.829918,27.83989,8.557689,7.707157,355.7905,20.15112,1.663988,28.44386,4.854217,2.212963,355.8373,20.22321,1.632937,27.86324,357.8741,309.1305,7.096347,20.15112,1.663988,28.44386,4.854217,2.212963,355.8373,20.22321,1.632937,27.86324,357.874,309.1305,277.0963,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,5,2,8,109,0,False,False,20.13802,1.830062,27.84022,8.57941,7.679218,355.7997,20.15019,1.662676,28.4441,4.918891,2.192647,355.607,20.22281,1.633292,27.86398,357.7572,309.2514,7.094241,20.15019,1.662676,28.4441,4.918891,2.192647,355.607,20.22281,1.633292,27.86398,357.7572,309.2514,277.0942,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,5,2,8,123,0,False,False,20.13783,1.829897,27.84023,8.607866,7.639487,355.8134,20.14921,1.661315,28.44429,4.99403,2.260412,355.3045,20.2223,1.63358,27.86457,357.7177,309.1028,7.056103,20.14921,1.661315,28.44429,4.99403,2.260412,355.3045,20.2223,1.63358,27.86457,357.7177,309.1028,277.0561,19.455,1.405,28.3,0.0,0.0,0.0
