,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,8,2,12,0,0,False,False,20.00587,1.855658,28.07588,22.78483,6.647347,2.797915,20.10623,1.649599,28.67037,359.4586,2.984963,1.715053,20.09751,1.685943,28.10716,347.0259,323.9858,357.7729,20.10623,1.649599,28.67037,359.4586,2.984963,1.715053,20.09751,1.685943,28.10716,347.0259,323.9858,267.7729,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,8,2,12,12,0,False,False,20.00584,1.855656,28.07588,22.80375,6.618597,2.793577,20.10604,1.649613,28.67039,359.4559,2.992225,1.707523,20.0975,1.685926,28.10716,347.0889,323.9642,357.6135,20.10604,1.649613,28.67039,359.4559,2.992225,1.707523,20.0975,1.685926,28.10716,347.0889,323.9642,267.6135,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,8,2,12,26,0,False,False,20.00611,1.855804,28.07582,22.79127,6.605402,2.767302,20.10583,1.64964,28.67046,359.4504,2.965852,1.660668,20.09757,1.685817,28.10705,347.1125,323.9103,357.5008,20.10583,1.64964,28.67046,359.4504,2.965852,1.660668,20.09757,1.685817,28.10705,347.1125,323.9103,267.5007,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,8,2,12,40,0,False,False,20.00626,1.855983,28.076,22.75051,6.614237,2.758972,20.10545,1.649583,28.67062,359.4518,2.846672,1.597185,20.09756,1.685675,28.1069,347.1635,323.7815,357.4645,20.10545,1.649583,28.67062,359.4518,2.846672,1.597185,20.09756,1.685675,28.1069,347.1635,323.7815,267.4645,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,8,2,12,54,0,False,False,20.00624,1.856123,28.07614,22.71147,6.637769,2.793727,20.1051,1.64947,28.67069,359.4495,2.784532,1.666724,20.0975,1.685618,28.10686,347.1835,323.7622,357.5394,20.1051,1.64947,28.67069,359.4495,2.784532,1.666724,20.0975,1.685618,28.10686,347.1835,323.7622,267.5394,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,8,2,12,72,0,False,False,20.00645,1.855961,28.07597,22.66541,6.65266,2.800262,20.10483,1.649327,28.67074,359.4727,2.75786,1.745959,20.0975,1.685571,28.10686,347.1971,323.7868,357.5676,20.10483,1.649327,28.67074,359.4727,2.75786,1.745959,20.0975,1.685571,28.10686,347.1971,323.7868,267.5676,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,8,2,12,82,0,False,False,20.00641,1.856023,28.07609,22.63267,6.654554,2.768164,20.10465,1.64914,28.67081,359.5228,2.719818,1.71917,20.09755,1.685508,28.10691,347.1711,323.8393,357.5416,20.10465,1.64914,28.67081,359.5228,2.719818,1.71917,20.09755,1.685508,28.10691,347.1711,323.8393,267.5416,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,8,2,12,96,0,False,False,20.00642,1.856014,28.07617,22.60371,6.65388,2.745143,20.10458,1.649047,28.67081,359.5091,2.749283,1.707654,20.09763,1.685428,28.10699,347.1531,323.8926,357.5049,20.10458,1.649047,28.67081,359.5091,2.749283,1.707654,20.09763,1.685428,28.10699,347.1531,323.8926,267.5049,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,8,2,12,109,0,False,False,20.00682,1.855997,28.07612,22.58906,6.646236,2.743367,20.10443,1.648775,28.67088,359.5427,2.789928,1.677358,20.09768,1.68539,28.10708,347.1621,323.9346,357.4946,20.10443,1.648775,28.67088,359.5427,2.789928,1.677358,20.09768,1.68539,28.10708,347.1621,323.9346,267.4946,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,8,2,12,123,0,False,False,20.00694,1.856156,28.07633,22.58261,6.664786,2.727319,20.10435,1.648385,28.67094,359.596,2.787056,1.551193,20.09771,1.685362,28.10712,347.1671,323.9123,357.497,20.10435,1.648385,28.67094,359.596,2.787056,1.551193,20.09771,1.685362,28.10712,347.1671,323.9123,267.497,19.455,1.405,28.3,0.0,0.0,0.0
