,Scenario,ParticipantID,study_session,repetition,timestamp_ms,phase,HeightNormalization,ArmLengthNormalization,CenterEyeAnchor_pos_X,CenterEyeAnchor_pos_Y,CenterEyeAnchor_pos_Z,CenterEyeAnchor_euler_X,CenterEyeAnchor_euler_Y,CenterEyeAnchor_euler_Z,LeftControllerAnchor_pos_X,LeftControllerAnchor_pos_Y,LeftControllerAnchor_pos_Z,LeftControllerAnchor_euler_X,LeftControllerAnchor_euler_Y,LeftControllerAnchor_euler_Z,RightControllerAnchor_pos_X,RightControllerAnchor_pos_Y,RightControllerAnchor_pos_Z,RightControllerAnchor_euler_X,RightControllerAnchor_euler_Y,RightControllerAnchor_euler_Z,LeftVirtualHand_pos_X,LeftVirtualHand_pos_Y,LeftVirtualHand_pos_Z,LeftVirtualHand_euler_X,LeftVirtualHand_euler_Y,LeftVirtualHand_euler_Z,RightVirtualHand_pos_X,RightVirtualHand_pos_Y,RightVirtualHand_pos_Z,RightVirtualHand_euler_X,RightVirtualHand_euler_Y,RightVirtualHand_euler_Z,Arrow_pos_X,Arrow_pos_Y,Arrow_pos_Z,Arrow_euler_X,Arrow_euler_Y,Arrow_euler_Z
0,Archery,12,2,2,0,0,False,False,20.37644,1.998608,28.30511,8.774666,4.610486,359.9278,20.3977,1.640114,28.84348,350.4907,359.5305,-0.0017916,20.44066,1.507257,28.3517,5.154975,357.2531,1.022275,20.3977,1.640114,28.84348,350.4907,359.5305,-0.0017916,20.44066,1.507257,28.3517,5.154974,357.2531,271.0223,19.455,1.405,28.3,0.0,0.0,0.0
1,Archery,12,2,2,10,0,False,False,20.37585,1.998856,28.30508,8.757275,4.523199,0.008931312,20.39609,1.638874,28.84297,350.5647,359.4679,0.06424083,20.44099,1.507133,28.35224,5.224613,357.1423,1.047527,20.39609,1.638874,28.84297,350.5647,359.4679,0.06424083,20.44099,1.507133,28.35224,5.224614,357.1423,271.0475,19.455,1.405,28.3,0.0,0.0,0.0
2,Archery,12,2,2,24,0,False,False,20.37523,1.999083,28.30478,8.706994,4.404778,0.0892006,20.39405,1.637333,28.84241,350.6382,359.2981,0.009525271,20.44129,1.506995,28.35287,5.268805,357.0784,1.158619,20.39405,1.637333,28.84241,350.6382,359.2981,0.009525271,20.44129,1.506995,28.35287,5.268804,357.0784,271.1586,19.455,1.405,28.3,0.0,0.0,0.0
3,Archery,12,2,2,39,0,False,False,20.37459,1.999445,28.30473,8.64512,4.295231,0.1760186,20.39184,1.635702,28.84182,350.7732,359.1312,0.05061135,20.44149,1.506851,28.35338,5.267653,357.1285,1.317936,20.39184,1.635702,28.84182,350.7732,359.1312,0.05061135,20.44149,1.506851,28.35338,5.267653,357.1285,271.3179,19.455,1.405,28.3,0.0,0.0,0.0
4,Archery,12,2,2,52,0,False,False,20.3739,1.999694,28.30458,8.609135,4.161642,0.274268,20.38944,1.633951,28.84107,350.9032,358.992,0.1254969,20.44189,1.506742,28.35419,5.307801,357.2129,1.433622,20.38944,1.633951,28.84107,350.9032,358.992,0.1254969,20.44189,1.506742,28.35419,5.307801,357.2129,271.4336,19.455,1.405,28.3,0.0,0.0,0.0
5,Archery,12,2,2,66,0,False,False,20.37296,2.000109,28.30443,8.570518,4.008134,0.3658794,20.38671,1.631897,28.8402,351.0807,358.8094,0.1635887,20.44228,1.506642,28.35518,5.382579,357.3155,1.554522,20.38671,1.631897,28.8402,351.0807,358.8094,0.1635887,20.44228,1.506642,28.35518,5.382579,357.3155,271.5545,19.455,1.405,28.3,0.0,0.0,0.0
6,Archery,12,2,2,80,0,False,False,20.37227,2.000548,28.30446,8.524265,3.847085,0.4515617,20.38373,1.629639,28.8391,351.262,358.7007,0.1768781,20.44252,1.506566,28.35606,5.486274,357.3334,1.665112,20.38373,1.629639,28.8391,351.262,358.7007,0.1768781,20.44252,1.506566,28.35606,5.486274,357.3334,271.6651,19.455,1.405,28.3,0.0,0.0,0.0
7,Archery,12,2,2,93,0,False,False,20.37157,2.001031,28.30432,8.46057,3.654856,0.5581686,20.38029,1.627177,28.83787,351.5094,358.5839,0.3580904,20.44261,1.506614,28.35695,5.555256,357.2491,1.805622,20.38029,1.627177,28.83787,351.5094,358.5839,0.3580904,20.44261,1.506614,28.35695,5.555257,357.2491,271.8056,19.455,1.405,28.3,0.0,0.0,0.0
8,Archery,12,2,2,107,0,False,False,20.37074,2.001422,28.30406,8.388425,3.437403,0.6701891,20.37641,1.624454,28.83666,351.8036,358.3999,0.6165784,20.44255,1.506807,28.35789,5.583118,357.0839,1.960999,20.37641,1.624454,28.83666,351.8036,358.3999,0.6165784,20.44255,1.506807,28.35789,5.583118,357.0839,271.961,19.455,1.405,28.3,0.0,0.0,0.0
9,Archery,12,2,2,121,0,False,False,20.36996,2.002199,28.30395,8.264455,3.203453,0.7795858,20.37218,1.621408,28.83555,352.0883,358.0822,0.779836,20.44243,1.507136,28.35882,5.550478,356.8294,2.144264,20.37218,1.621408,28.83555,352.0883,358.0822,0.779836,20.44243,1.507136,28.35882,5.550478,356.8294,272.1443,19.455,1.405,28.3,0.0,0.0,0.0
10,Archery,12,2,2,136,0,False,False,20.36926,2.002877,28.30356,8.085865,2.967885,0.8805719,20.36764,1.618069,28.83448,352.4651,357.7725,0.8963836,20.44231,1.50756,28.35981,5.500749,356.6257,2.412162,20.36764,1.618069,28.83448,352.4651,357.7725,0.8963836,20.44231,1.50756,28.35981,5.500749,356.6257,272.4121,19.455,1.405,28.3,0.0,0.0,0.0
11,Archery,12,2,2,149,0,False,False,20.36838,2.003465,28.30309,7.885929,2.715543,0.987129,20.36273,1.614467,28.83334,352.8176,357.4953,1.011584,20.44223,1.508146,28.36086,5.440122,356.4364,2.637289,20.36273,1.614467,28.83334,352.8176,357.4953,1.011584,20.44223,1.508146,28.36086,5.440122,356.4364,272.6373,19.455,1.405,28.3,0.0,0.0,0.0
12,Archery,12,2,2,163,0,False,False,20.36768,2.003835,28.30273,7.696509,2.456946,1.085942,20.35756,1.610637,28.83216,353.0214,357.1797,0.9775488,20.44218,1.508823,28.36197,5.298669,356.3091,2.772393,20.35756,1.610637,28.83216,353.0214,357.1797,0.9775488,20.44218,1.508823,28.36197,5.298669,356.3091,272.7724,19.455,1.405,28.3,0.0,0.0,0.0
13,Archery,12,2,2,177,0,False,False,20.36667,2.004288,28.30208,7.5005,2.208213,1.144886,20.3524,1.606665,28.83104,353.2032,356.884,0.7903112,20.44219,1.509531,28.36309,5.165234,356.1875,2.824795,20.3524,1.606665,28.83104,353.2032,356.884,0.7903112,20.44219,1.509531,28.36309,5.165234,356.1875,272.8248,19.455,1.405,28.3,0.0,0.0,0.0
14,Archery,12,2,2,191,0,False,False,20.36607,2.004714,28.30165,7.304497,1.985569,1.162129,20.34683,1.602319,28.83006,353.4911,356.5754,0.4691528,20.44217,1.510313,28.36434,5.093557,356.0032,2.678355,20.34683,1.602319,28.83006,353.4911,356.5754,0.4691528,20.44217,1.510313,28.36434,5.093558,356.0032,272.6783,19.455,1.405,28.3,0.0,0.0,0.0
15,Archery,12,2,2,205,0,False,False,20.3655,2.005274,28.30136,7.105135,1.795038,1.150942,20.3411,1.598311,28.82903,353.8029,356.3972,0.5125371,20.44209,1.510957,28.36562,5.078986,355.7789,2.493033,20.3411,1.598311,28.82903,353.8029,356.3972,0.5125371,20.44209,1.510957,28.36562,5.078986,355.7789,272.493,19.455,1.405,28.3,0.0,0.0,0.0
16,Archery,12,2,2,219,0,False,False,20.36479,2.005523,28.30082,6.939023,1.610855,1.169811,20.33527,1.594578,28.82784,354.0883,356.3268,0.9566625,20.44192,1.511524,28.36688,5.070873,355.5439,2.416117,20.33527,1.594578,28.82784,354.0883,356.3268,0.9566625,20.44192,1.511524,28.36688,5.070874,355.5439,272.4161,19.455,1.405,28.3,0.0,0.0,0.0
17,Archery,12,2,2,233,0,False,False,20.36418,2.00587,28.30055,6.780185,1.43933,1.208182,20.32898,1.591181,28.82645,354.5178,356.359,1.972432,20.44149,1.511988,28.36815,5.092742,355.2504,2.37102,20.32898,1.591181,28.82645,354.5178,356.359,1.972432,20.44149,1.511988,28.36815,5.092741,355.2504,272.371,19.455,1.405,28.3,0.0,0.0,0.0
18,Archery,12,2,2,246,0,False,False,20.36362,2.006225,28.30017,6.655401,1.266701,1.275464,20.32257,1.588119,28.82505,354.83,356.2516,3.067948,20.44099,1.512362,28.36926,5.061412,354.9508,2.416505,20.32257,1.588119,28.82505,354.83,356.2516,3.067948,20.44099,1.512362,28.36926,5.061412,354.9508,272.4165,19.455,1.405,28.3,0.0,0.0,0.0
19,Archery,12,2,2,261,0,False,False,20.36277,2.006685,28.29999,6.542256,1.094875,1.359236,20.31615,1.585165,28.82351,354.9904,356.0301,3.821965,20.44042,1.512707,28.37038,5.006454,354.6691,2.550784,20.31615,1.585165,28.82351,354.9904,356.0301,3.821965,20.44042,1.512707,28.37038,5.006455,354.6691,272.5508,19.455,1.405,28.3,0.0,0.0,0.0
20,Archery,12,2,2,274,0,False,False,20.36215,2.006841,28.29962,6.43226,0.9408656,1.419262,20.31007,1.582219,28.82187,355.0822,355.6641,3.70169,20.43977,1.513095,28.37153,4.981253,354.3926,2.694881,20.31007,1.582219,28.82187,355.0822,355.6641,3.70169,20.43977,1.513095,28.37153,4.981253,354.3926,272.6949,19.455,1.405,28.3,0.0,0.0,0.0
21,Archery,12,2,2,288,0,False,False,20.36151,2.007182,28.29942,6.345775,0.8122445,1.426391,20.30434,1.579378,28.82011,355.0558,355.3233,3.006423,20.43904,1.513434,28.37263,4.959542,354.0405,2.828077,20.30434,1.579378,28.82011,355.0558,355.3233,3.006423,20.43904,1.513434,28.37263,4.959543,354.0405,272.8281,19.455,1.405,28.3,0.0,0.0,0.0
22,Archery,12,2,2,302,0,False,False,20.36083,2.007646,28.29895,6.250489,0.7058977,1.433127,20.2988,1.576668,28.81836,355.0885,355.2802,2.201854,20.43825,1.513741,28.37371,4.887207,353.6904,2.974883,20.2988,1.576668,28.81836,355.0885,355.2802,2.201854,20.43825,1.513741,28.37371,4.887207,353.6904,272.9749,19.455,1.405,28.3,0.0,0.0,0.0
23,Archery,12,2,2,316,0,False,False,20.36027,2.008067,28.29863,6.155012,0.6214621,1.454988,20.29339,1.574083,28.81682,355.2881,355.1605,1.31879,20.43737,1.513938,28.37475,4.810134,353.3077,3.12591,20.29339,1.574083,28.81682,355.2881,355.1605,1.31879,20.43737,1.513938,28.37475,4.810134,353.3076,273.1259,19.455,1.405,28.3,0.0,0.0,0.0
24,Archery,12,2,2,330,0,False,False,20.3597,2.008198,28.29832,6.065399,0.5491618,1.479429,20.28807,1.571794,28.81539,355.5797,354.8851,0.6107083,20.43646,1.514072,28.37576,4.79098,352.8962,3.246808,20.28807,1.571794,28.81539,355.5797,354.8851,0.6107083,20.43646,1.514072,28.37576,4.79098,352.8962,273.2468,19.455,1.405,28.3,0.0,0.0,0.0
25,Archery,12,2,2,346,0,False,False,20.35906,2.008427,28.2978,5.995334,0.451238,1.519533,20.28262,1.570012,28.81388,355.6927,354.4716,0.3484331,20.43541,1.514121,28.37678,4.783202,352.4604,3.444035,20.28262,1.570012,28.81388,355.6927,354.4716,0.3484331,20.43541,1.514121,28.37678,4.783202,352.4604,273.444,19.455,1.405,28.3,0.0,0.0,0.0
26,Archery,12,2,2,358,0,False,False,20.35839,2.008621,28.29743,5.966209,0.3182481,1.572929,20.27713,1.568648,28.81222,355.654,353.9025,0.300741,20.43441,1.514233,28.37779,4.726474,352.0806,3.654903,20.27713,1.568648,28.81222,355.654,353.9025,0.300741,20.43441,1.514233,28.37779,4.726475,352.0806,273.6549,19.455,1.405,28.3,0.0,0.0,0.0
